"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -9.61092908295E+000, +0.00000000000E+000
+5.09062500000E+007, -9.62414545720E+000, +0.00000000000E+000
+5.18125000000E+007, -9.63267430437E+000, +0.00000000000E+000
+5.27187500000E+007, -9.64033425045E+000, +0.00000000000E+000
+5.36250000000E+007, -9.64766919814E+000, +0.00000000000E+000
+5.45312500000E+007, -9.65542282105E+000, +0.00000000000E+000
+5.54375000000E+007, -9.66275901961E+000, +0.00000000000E+000
+5.63437500000E+007, -9.67015620286E+000, +0.00000000000E+000
+5.72500000000E+007, -9.67764246124E+000, +0.00000000000E+000
+5.81562500000E+007, -9.68519589415E+000, +0.00000000000E+000
+5.90625000000E+007, -9.69271349676E+000, +0.00000000000E+000
+5.99687500000E+007, -9.70034226117E+000, +0.00000000000E+000
+6.08750000000E+007, -9.70790553301E+000, +0.00000000000E+000
+6.17812500000E+007, -9.71578708444E+000, +0.00000000000E+000
+6.26875000000E+007, -9.72323309334E+000, +0.00000000000E+000
+6.35937500000E+007, -9.73075589697E+000, +0.00000000000E+000
+6.45000000000E+007, -9.73819771032E+000, +0.00000000000E+000
+6.54062500000E+007, -9.74567379661E+000, +0.00000000000E+000
+6.63125000000E+007, -9.75317063179E+000, +0.00000000000E+000
+6.72187500000E+007, -9.76058062022E+000, +0.00000000000E+000
+6.81250000000E+007, -9.76794440333E+000, +0.00000000000E+000
+6.90312500000E+007, -9.77534015522E+000, +0.00000000000E+000
+6.99375000000E+007, -9.78263255192E+000, +0.00000000000E+000
+7.08437500000E+007, -9.78972292641E+000, +0.00000000000E+000
+7.17500000000E+007, -9.79696976206E+000, +0.00000000000E+000
+7.26562500000E+007, -9.80404197776E+000, +0.00000000000E+000
+7.35625000000E+007, -9.81097235325E+000, +0.00000000000E+000
+7.44687500000E+007, -9.81786161987E+000, +0.00000000000E+000
+7.53750000000E+007, -9.82462145276E+000, +0.00000000000E+000
+7.62812500000E+007, -9.83129235333E+000, +0.00000000000E+000
+7.71875000000E+007, -9.83779738588E+000, +0.00000000000E+000
+7.80937500000E+007, -9.84418478790E+000, +0.00000000000E+000
+7.90000000000E+007, -9.85036176552E+000, +0.00000000000E+000
+7.99062500000E+007, -9.85652671962E+000, +0.00000000000E+000
+8.08125000000E+007, -9.86255570168E+000, +0.00000000000E+000
+8.17187500000E+007, -9.86836934994E+000, +0.00000000000E+000
+8.26250000000E+007, -9.87414449249E+000, +0.00000000000E+000
+8.35312500000E+007, -9.87974403123E+000, +0.00000000000E+000
+8.44375000000E+007, -9.88513498766E+000, +0.00000000000E+000
