"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -2.23848586998E+000, +0.00000000000E+000
+5.09062500000E+007, -2.25935272207E+000, +0.00000000000E+000
+5.18125000000E+007, -2.27095673913E+000, +0.00000000000E+000
+5.27187500000E+007, -2.28110054370E+000, +0.00000000000E+000
+5.36250000000E+007, -2.29102913780E+000, +0.00000000000E+000
+5.45312500000E+007, -2.30083277302E+000, +0.00000000000E+000
+5.54375000000E+007, -2.31064571495E+000, +0.00000000000E+000
+5.63437500000E+007, -2.32057361887E+000, +0.00000000000E+000
+5.72500000000E+007, -2.33053772189E+000, +0.00000000000E+000
+5.81562500000E+007, -2.34062856514E+000, +0.00000000000E+000
+5.90625000000E+007, -2.35086054586E+000, +0.00000000000E+000
+5.99687500000E+007, -2.36111211396E+000, +0.00000000000E+000
+6.08750000000E+007, -2.37144226477E+000, +0.00000000000E+000
+6.17812500000E+007, -2.38210401436E+000, +0.00000000000E+000
+6.26875000000E+007, -2.39214679328E+000, +0.00000000000E+000
+6.35937500000E+007, -2.40225368466E+000, +0.00000000000E+000
+6.45000000000E+007, -2.41240312960E+000, +0.00000000000E+000
+6.54062500000E+007, -2.42264971900E+000, +0.00000000000E+000
+6.63125000000E+007, -2.43290934681E+000, +0.00000000000E+000
+6.72187500000E+007, -2.44317439922E+000, +0.00000000000E+000
+6.81250000000E+007, -2.45345611793E+000, +0.00000000000E+000
+6.90312500000E+007, -2.46373843514E+000, +0.00000000000E+000
+6.99375000000E+007, -2.47410949727E+000, +0.00000000000E+000
+7.08437500000E+007, -2.48431499135E+000, +0.00000000000E+000
+7.17500000000E+007, -2.49465243152E+000, +0.00000000000E+000
+7.26562500000E+007, -2.50486108726E+000, +0.00000000000E+000
+7.35625000000E+007, -2.51505620893E+000, +0.00000000000E+000
+7.44687500000E+007, -2.52521297646E+000, +0.00000000000E+000
+7.53750000000E+007, -2.53534304070E+000, +0.00000000000E+000
+7.62812500000E+007, -2.54541970931E+000, +0.00000000000E+000
+7.71875000000E+007, -2.55546873392E+000, +0.00000000000E+000
+7.80937500000E+007, -2.56538624710E+000, +0.00000000000E+000
+7.90000000000E+007, -2.57527157795E+000, +0.00000000000E+000
+7.99062500000E+007, -2.58501741423E+000, +0.00000000000E+000
+8.08125000000E+007, -2.59472127032E+000, +0.00000000000E+000
+8.17187500000E+007, -2.60432730767E+000, +0.00000000000E+000
+8.26250000000E+007, -2.61391625350E+000, +0.00000000000E+000
+8.35312500000E+007, -2.62337177944E+000, +0.00000000000E+000
+8.44375000000E+007, -2.63279871990E+000, +0.00000000000E+000
+8.53437500000E+007, -2.64215237395E+000, +0.00000000000E+000
+8.62500000000E+007, -2.65142373393E+000, +0.00000000000E+000
+8.71562500000E+007, -2.66062471032E+000, +0.00000000000E+000
+8.80625000000E+007, -2.66978650423E+000, +0.00000000000E+000
