"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -9.55895011346E+000, +0.00000000000E+000
+5.09062500000E+007, -9.58342520722E+000, +0.00000000000E+000
+5.18125000000E+007, -9.59417606066E+000, +0.00000000000E+000
+5.27187500000E+007, -9.60310931635E+000, +0.00000000000E+000
+5.36250000000E+007, -9.61119561478E+000, +0.00000000000E+000
+5.45312500000E+007, -9.61901007873E+000, +0.00000000000E+000
+5.54375000000E+007, -9.62687530289E+000, +0.00000000000E+000
+5.63437500000E+007, -9.63456778923E+000, +0.00000000000E+000
+5.72500000000E+007, -9.64219378628E+000, +0.00000000000E+000
+5.81562500000E+007, -9.64990156328E+000, +0.00000000000E+000
+5.90625000000E+007, -9.65771816240E+000, +0.00000000000E+000
+5.99687500000E+007, -9.66540506327E+000, +0.00000000000E+000
+6.08750000000E+007, -9.67305908848E+000, +0.00000000000E+000
+6.17812500000E+007, -9.68167865667E+000, +0.00000000000E+000
+6.26875000000E+007, -9.68934160130E+000, +0.00000000000E+000
+6.35937500000E+007, -9.69668831125E+000, +0.00000000000E+000
+6.45000000000E+007, -9.70418396432E+000, +0.00000000000E+000
+6.54062500000E+007, -9.71175618186E+000, +0.00000000000E+000
+6.63125000000E+007, -9.71919328966E+000, +0.00000000000E+000
+6.72187500000E+007, -9.72672204638E+000, +0.00000000000E+000
+6.81250000000E+007, -9.73419002967E+000, +0.00000000000E+000
+6.90312500000E+007, -9.74143433523E+000, +0.00000000000E+000
+6.99375000000E+007, -9.74883927457E+000, +0.00000000000E+000
+7.08437500000E+007, -9.75613104607E+000, +0.00000000000E+000
+7.17500000000E+007, -9.76319618926E+000, +0.00000000000E+000
+7.26562500000E+007, -9.77042731846E+000, +0.00000000000E+000
+7.35625000000E+007, -9.77751041392E+000, +0.00000000000E+000
+7.44687500000E+007, -9.78445814216E+000, +0.00000000000E+000
+7.53750000000E+007, -9.79135903119E+000, +0.00000000000E+000
+7.62812500000E+007, -9.79802013743E+000, +0.00000000000E+000
+7.71875000000E+007, -9.80465363062E+000, +0.00000000000E+000
+7.80937500000E+007, -9.81126653261E+000, +0.00000000000E+000
+7.90000000000E+007, -9.81746250907E+000, +0.00000000000E+000
+7.99062500000E+007, -9.82369644863E+000, +0.00000000000E+000
+8.08125000000E+007, -9.82990984717E+000, +0.00000000000E+000
+8.17187500000E+007, -9.83579088558E+000, +0.00000000000E+000
+8.26250000000E+007, -9.84165786253E+000, +0.00000000000E+000
+8.35312500000E+007, -9.84750320455E+000, +0.00000000000E+000
+8.44375000000E+007, -9.85299651775E+000, +0.00000000000E+000
+8.53437500000E+007, -9.85852033869E+000, +0.00000000000E+000
+8.62500000000E+007, -9.86399964320E+000, +0.00000000000E+000
+8.71562500000E+007, -9.86923917523E+000, +0.00000000000E+000
+8.80625000000E+007, -9.87449564547E+000, +0.00000000000E+000
+8.89687500000E+007, -9.87959280557E+000, +0.00000000000E+000
+8.98750000000E+007, -9.88464536621E+000, +0.00000000000E+000
+9.07812500000E+007, -9.88981375960E+000, +0.00000000000E+000
+9.16875000000E+007, -9.89484302490E+000, +0.00000000000E+000
+9.25937500000E+007, -9.89982359028E+000, +0.00000000000E+000
+9.35000000000E+007, -9.90489269301E+000, +0.00000000000E+000
+9.44062500000E+007, -9.90990483517E+000, +0.00000000000E+000
+9.53125000000E+007, -9.91501260574E+000, +0.00000000000E+000
+9.62187500000E+007, -9.92026187818E+000, +0.00000000000E+000
+9.71250000000E+007, -9.92537296550E+000, +0.00000000000E+000
+9.80312500000E+007, -9.93066912977E+000, +0.00000000000E+000
+9.89375000000E+007, -9.93630081921E+000, +0.00000000000E+000
+9.98437500000E+007, -9.94181092847E+000, +0.00000000000E+000
+1.00750000000E+008, -9.94751798233E+000, +0.00000000000E+000
+1.01656250000E+008, -9.95348026592E+000, +0.00000000000E+000
+1.02562500000E+008, -9.95940628960E+000, +0.00000000000E+000
+1.03468750000E+008, -9.96557712998E+000, +0.00000000000E+000
+1.04375000000E+008, -9.97193450617E+000, +0.00000000000E+000
+1.05281250000E+008, -9.97823839472E+000, +0.00000000000E+000
+1.06187500000E+008, -9.98487489115E+000, +0.00000000000E+000
+1.07093750000E+008, -9.99161587593E+000, +0.00000000000E+000
+1.08000000000E+008, -9.99836812425E+000, +0.00000000000E+000
+1.08906250000E+008, -1.00054327318E+001, +0.00000000000E+000
+1.09812500000E+008, -1.00124676167E+001, +0.00000000000E+000
+1.10718750000E+008, -1.00196591575E+001, +0.00000000000E+000
+1.11625000000E+008, -1.00271087915E+001, +0.00000000000E+000
+1.12531250000E+008, -1.00343609247E+001, +0.00000000000E+000
+1.13437500000E+008, -1.00417769529E+001, +0.00000000000E+000
+1.14343750000E+008, -1.00494048530E+001, +0.00000000000E+000
+1.15250000000E+008, -1.00568140007E+001, +0.00000000000E+000
+1.16156250000E+008, -1.00643018631E+001, +0.00000000000E+000
+1.17062500000E+008, -1.00718859642E+001, +0.00000000000E+000
+1.17968750000E+008, -1.00791911633E+001, +0.00000000000E+000
+1.18875000000E+008, -1.00865149823E+001, +0.00000000000E+000
+1.19781250000E+008, -1.00939125890E+001, +0.00000000000E+000
+1.20687500000E+008, -1.01010454106E+001, +0.00000000000E+000
+1.21593750000E+008, -1.01081075955E+001, +0.00000000000E+000
+1.22500000000E+008, -1.01150587779E+001, +0.00000000000E+000
+1.23406250000E+008, -1.01218173423E+001, +0.00000000000E+000
+1.24312500000E+008, -1.01285409312E+001, +0.00000000000E+000
+1.25218750000E+008, -1.01349987641E+001, +0.00000000000E+000
+1.26125000000E+008, -1.01412031455E+001, +0.00000000000E+000
+1.27031250000E+008, -1.01473105434E+001, +0.00000000000E+000
+1.27937500000E+008, -1.01532723678E+001, +0.00000000000E+000
+1.28843750000E+008, -1.01589539313E+001, +0.00000000000E+000
+1.29750000000E+008, -1.01645877239E+001, +0.00000000000E+000
+1.30656250000E+008, -1.01699246943E+001, +0.00000000000E+000
+1.31562500000E+008, -1.01751291545E+001, +0.00000000000E+000
+1.32468750000E+008, -1.01803847285E+001, +0.00000000000E+000
+1.33375000000E+008, -1.01851202106E+001, +0.00000000000E+000
+1.34281250000E+008, -1.01899052118E+001, +0.00000000000E+000
+1.35187500000E+008, -1.01947673694E+001, +0.00000000000E+000
+1.36093750000E+008, -1.01992350163E+001, +0.00000000000E+000
+1.37000000000E+008, -1.02037043505E+001, +0.00000000000E+000
+1.37906250000E+008, -1.02082229269E+001, +0.00000000000E+000
+1.38812500000E+008, -1.02124958226E+001, +0.00000000000E+000
+1.39718750000E+008, -1.02169163514E+001, +0.00000000000E+000
+1.40625000000E+008, -1.02213909723E+001, +0.00000000000E+000
+1.41531250000E+008, -1.02257885106E+001, +0.00000000000E+000
+1.42437500000E+008, -1.02303289034E+001, +0.00000000000E+000
+1.43343750000E+008, -1.02349333557E+001, +0.00000000000E+000
+1.44250000000E+008, -1.02395095882E+001, +0.00000000000E+000
+1.45156250000E+008, -1.02442859230E+001, +0.00000000000E+000
+1.46062500000E+008, -1.02490874085E+001, +0.00000000000E+000
+1.46968750000E+008, -1.02540025121E+001, +0.00000000000E+000
+1.47875000000E+008, -1.02592243090E+001, +0.00000000000E+000
+1.48781250000E+008, -1.02644482521E+001, +0.00000000000E+000
+1.49687500000E+008, -1.02698627136E+001, +0.00000000000E+000
+1.50593750000E+008, -1.02755443367E+001, +0.00000000000E+000
+1.51500000000E+008, -1.02812199777E+001, +0.00000000000E+000
+1.52406250000E+008, -1.02871315596E+001, +0.00000000000E+000
+1.53312500000E+008, -1.02933459359E+001, +0.00000000000E+000
+1.54218750000E+008, -1.02993670372E+001, +0.00000000000E+000
+1.55125000000E+008, -1.03056427292E+001, +0.00000000000E+000
+1.56031250000E+008, -1.03123149076E+001, +0.00000000000E+000
+1.56937500000E+008, -1.03187636235E+001, +0.00000000000E+000
+1.57843750000E+008, -1.03254614250E+001, +0.00000000000E+000
+1.58750000000E+008, -1.03322652877E+001, +0.00000000000E+000
+1.59656250000E+008, -1.03390090919E+001, +0.00000000000E+000
+1.60562500000E+008, -1.03460436145E+001, +0.00000000000E+000
+1.61468750000E+008, -1.03531203746E+001, +0.00000000000E+000
+1.62375000000E+008, -1.03600381412E+001, +0.00000000000E+000
+1.63281250000E+008, -1.03671038685E+001, +0.00000000000E+000
+1.64187500000E+008, -1.03741150865E+001, +0.00000000000E+000
+1.65093750000E+008, -1.03810521128E+001, +0.00000000000E+000
+1.66000000000E+008, -1.03880441266E+001, +0.00000000000E+000
+1.66906250000E+008, -1.03948428677E+001, +0.00000000000E+000
+1.67812500000E+008, -1.04016373332E+001, +0.00000000000E+000
+1.68718750000E+008, -1.04084898090E+001, +0.00000000000E+000
+1.69625000000E+008, -1.04150303509E+001, +0.00000000000E+000
+1.70531250000E+008, -1.04215221428E+001, +0.00000000000E+000
+1.71437500000E+008, -1.04281332958E+001, +0.00000000000E+000
+1.72343750000E+008, -1.04344105453E+001, +0.00000000000E+000
+1.73250000000E+008, -1.04406067444E+001, +0.00000000000E+000
+1.74156250000E+008, -1.04468097798E+001, +0.00000000000E+000
+1.75062500000E+008, -1.04526945216E+001, +0.00000000000E+000
+1.75968750000E+008, -1.04585534730E+001, +0.00000000000E+000
+1.76875000000E+008, -1.04644672326E+001, +0.00000000000E+000
+1.77781250000E+008, -1.04700321841E+001, +0.00000000000E+000
+1.78687500000E+008, -1.04755986580E+001, +0.00000000000E+000
+1.79593750000E+008, -1.04811042509E+001, +0.00000000000E+000
+1.80500000000E+008, -1.04862851986E+001, +0.00000000000E+000
+1.81406250000E+008, -1.04916404387E+001, +0.00000000000E+000
+1.82312500000E+008, -1.04968745293E+001, +0.00000000000E+000
+1.83218750000E+008, -1.05018832451E+001, +0.00000000000E+000
+1.84125000000E+008, -1.05069545051E+001, +0.00000000000E+000
+1.85031250000E+008, -1.05119240123E+001, +0.00000000000E+000
+1.85937500000E+008, -1.05169025047E+001, +0.00000000000E+000
+1.86843750000E+008, -1.05219347165E+001, +0.00000000000E+000
+1.87750000000E+008, -1.05268113065E+001, +0.00000000000E+000
+1.88656250000E+008, -1.05318153197E+001, +0.00000000000E+000
+1.89562500000E+008, -1.05370253952E+001, +0.00000000000E+000
+1.90468750000E+008, -1.05420846600E+001, +0.00000000000E+000
+1.91375000000E+008, -1.05472906387E+001, +0.00000000000E+000
+1.92281250000E+008, -1.05527948629E+001, +0.00000000000E+000
+1.93187500000E+008, -1.05580900542E+001, +0.00000000000E+000
+1.94093750000E+008, -1.05636554537E+001, +0.00000000000E+000
+1.95000000000E+008, -1.05694210132E+001, +0.00000000000E+000
+1.95906250000E+008, -1.05752159500E+001, +0.00000000000E+000
+1.96812500000E+008, -1.05813102009E+001, +0.00000000000E+000
+1.97718750000E+008, -1.05875861655E+001, +0.00000000000E+000
+1.98625000000E+008, -1.05938227114E+001, +0.00000000000E+000
+1.99531250000E+008, -1.06003349468E+001, +0.00000000000E+000
+2.00437500000E+008, -1.06070888139E+001, +0.00000000000E+000
+2.01343750000E+008, -1.06138489760E+001, +0.00000000000E+000
+2.02250000000E+008, -1.06208539398E+001, +0.00000000000E+000
+2.03156250000E+008, -1.06279908485E+001, +0.00000000000E+000
+2.04062500000E+008, -1.06352150817E+001, +0.00000000000E+000
+2.04968750000E+008, -1.06426734538E+001, +0.00000000000E+000
+2.05875000000E+008, -1.06500490210E+001, +0.00000000000E+000
+2.06781250000E+008, -1.06575793867E+001, +0.00000000000E+000
+2.07687500000E+008, -1.06653607374E+001, +0.00000000000E+000
+2.08593750000E+008, -1.06729177351E+001, +0.00000000000E+000
+2.09500000000E+008, -1.06806299007E+001, +0.00000000000E+000
+2.10406250000E+008, -1.06885208362E+001, +0.00000000000E+000
+2.11312500000E+008, -1.06961834892E+001, +0.00000000000E+000
+2.12218750000E+008, -1.07039180867E+001, +0.00000000000E+000
+2.13125000000E+008, -1.07117191901E+001, +0.00000000000E+000
+2.14031250000E+008, -1.07192002169E+001, +0.00000000000E+000
+2.14937500000E+008, -1.07267528530E+001, +0.00000000000E+000
+2.15843750000E+008, -1.07343778410E+001, +0.00000000000E+000
+2.16750000000E+008, -1.07415813374E+001, +0.00000000000E+000
+2.17656250000E+008, -1.07488516560E+001, +0.00000000000E+000
+2.18562500000E+008, -1.07560051327E+001, +0.00000000000E+000
+2.19468750000E+008, -1.07628364626E+001, +0.00000000000E+000
+2.20375000000E+008, -1.07696555808E+001, +0.00000000000E+000
+2.21281250000E+008, -1.07763504709E+001, +0.00000000000E+000
+2.22187500000E+008, -1.07828724133E+001, +0.00000000000E+000
+2.23093750000E+008, -1.07892712355E+001, +0.00000000000E+000
+2.24000000000E+008, -1.07954792915E+001, +0.00000000000E+000
+2.24906250000E+008, -1.08016203662E+001, +0.00000000000E+000
+2.25812500000E+008, -1.08077897372E+001, +0.00000000000E+000
+2.26718750000E+008, -1.08136311524E+001, +0.00000000000E+000
+2.27625000000E+008, -1.08194026326E+001, +0.00000000000E+000
+2.28531250000E+008, -1.08252686334E+001, +0.00000000000E+000
+2.29437500000E+008, -1.08308787420E+001, +0.00000000000E+000
+2.30343750000E+008, -1.08364314759E+001, +0.00000000000E+000
+2.31250000000E+008, -1.08420891715E+001, +0.00000000000E+000
+2.32156250000E+008, -1.08475031917E+001, +0.00000000000E+000
+2.33062500000E+008, -1.08530138947E+001, +0.00000000000E+000
+2.33968750000E+008, -1.08586169987E+001, +0.00000000000E+000
+2.34875000000E+008, -1.08638604328E+001, +0.00000000000E+000
