"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.05493515411E+001, +0.00000000000E+000
+1.93687500000E+006, -1.02650380086E+001, +0.00000000000E+000
+2.87375000000E+006, -1.01545168455E+001, +0.00000000000E+000
+3.81062500000E+006, -1.00952888835E+001, +0.00000000000E+000
+4.74750000000E+006, -1.00604011839E+001, +0.00000000000E+000
+5.68437500000E+006, -1.00379334275E+001, +0.00000000000E+000
+6.62125000000E+006, -1.00226857065E+001, +0.00000000000E+000
+7.55812500000E+006, -1.00124866850E+001, +0.00000000000E+000
+8.49500000000E+006, -1.00050771065E+001, +0.00000000000E+000
+9.43187500000E+006, -1.00002929634E+001, +0.00000000000E+000
+1.03687500000E+007, -9.99685134512E+000, +0.00000000000E+000
+1.13056250000E+007, -9.99388274719E+000, +0.00000000000E+000
+1.22425000000E+007, -9.99055476926E+000, +0.00000000000E+000
+1.31793750000E+007, -9.96635975784E+000, +0.00000000000E+000
+1.41162500000E+007, -9.95702352577E+000, +0.00000000000E+000
+1.50531250000E+007, -9.95177335550E+000, +0.00000000000E+000
+1.59900000000E+007, -9.94882113915E+000, +0.00000000000E+000
+1.69268750000E+007, -9.94772085825E+000, +0.00000000000E+000
+1.78637500000E+007, -9.94715154862E+000, +0.00000000000E+000
+1.88006250000E+007, -9.94702828547E+000, +0.00000000000E+000
+1.97375000000E+007, -9.94714210513E+000, +0.00000000000E+000
+2.06743750000E+007, -9.94762070221E+000, +0.00000000000E+000
+2.16112500000E+007, -9.94822962462E+000, +0.00000000000E+000
+2.25481250000E+007, -9.94921954781E+000, +0.00000000000E+000
+2.34850000000E+007, -9.95051278941E+000, +0.00000000000E+000
+2.44218750000E+007, -9.95185203189E+000, +0.00000000000E+000
+2.53587500000E+007, -9.95331633796E+000, +0.00000000000E+000
+2.62956250000E+007, -9.95511562363E+000, +0.00000000000E+000
+2.72325000000E+007, -9.95698218485E+000, +0.00000000000E+000
+2.81693750000E+007, -9.95916694134E+000, +0.00000000000E+000
+2.91062500000E+007, -9.96140856479E+000, +0.00000000000E+000
+3.00431250000E+007, -9.96407964942E+000, +0.00000000000E+000
+3.09800000000E+007, -9.96698132457E+000, +0.00000000000E+000
+3.19168750000E+007, -9.97029734836E+000, +0.00000000000E+000
+3.28537500000E+007, -9.97403591805E+000, +0.00000000000E+000
+3.37906250000E+007, -9.97850101857E+000, +0.00000000000E+000
+3.47275000000E+007, -9.98361035083E+000, +0.00000000000E+000
+3.56643750000E+007, -9.98964121290E+000, +0.00000000000E+000
+3.66012500000E+007, -9.99631571137E+000, +0.00000000000E+000
+3.75381250000E+007, -1.00036922036E+001, +0.00000000000E+000
+3.84750000000E+007, -1.00116874469E+001, +0.00000000000E+000
+3.94118750000E+007, -1.00201986900E+001, +0.00000000000E+000
+4.03487500000E+007, -1.00289925357E+001, +0.00000000000E+000
+4.12856250000E+007, -1.00380330385E+001, +0.00000000000E+000
+4.22225000000E+007, -1.00473229902E+001, +0.00000000000E+000
+4.31593750000E+007, -1.00568777194E+001, +0.00000000000E+000
+4.40962500000E+007, -1.00665308999E+001, +0.00000000000E+000
+4.50331250000E+007, -1.00763321915E+001, +0.00000000000E+000
+4.59700000000E+007, -1.00860341084E+001, +0.00000000000E+000
+4.69068750000E+007, -1.00957841884E+001, +0.00000000000E+000
+4.78437500000E+007, -1.01054023829E+001, +0.00000000000E+000
+4.87806250000E+007, -1.01150711557E+001, +0.00000000000E+000
+4.97175000000E+007, -1.01246393091E+001, +0.00000000000E+000
+5.06543750000E+007, -1.01342146213E+001, +0.00000000000E+000
+5.15912500000E+007, -1.01435970257E+001, +0.00000000000E+000
+5.25281250000E+007, -1.01528806582E+001, +0.00000000000E+000
+5.34650000000E+007, -1.01618913870E+001, +0.00000000000E+000
+5.44018750000E+007, -1.01708499177E+001, +0.00000000000E+000
+5.53387500000E+007, -1.01792836493E+001, +0.00000000000E+000
+5.62756250000E+007, -1.01874964929E+001, +0.00000000000E+000
+5.72125000000E+007, -1.01953892950E+001, +0.00000000000E+000
+5.81493750000E+007, -1.02030079222E+001, +0.00000000000E+000
+5.90862500000E+007, -1.02102596667E+001, +0.00000000000E+000
+6.00231250000E+007, -1.02170856099E+001, +0.00000000000E+000
+6.09600000000E+007, -1.02234570817E+001, +0.00000000000E+000
+6.18968750000E+007, -1.02296050470E+001, +0.00000000000E+000
+6.28337500000E+007, -1.02354394564E+001, +0.00000000000E+000
+6.37706250000E+007, -1.02409212085E+001, +0.00000000000E+000
