"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.84140313377E+000, +0.00000000000E+000
+1.93687500000E+006, -9.49580062040E+000, +0.00000000000E+000
+2.87375000000E+006, -9.36568575175E+000, +0.00000000000E+000
+3.81062500000E+006, -9.30593508477E+000, +0.00000000000E+000
+4.74750000000E+006, -9.28141502228E+000, +0.00000000000E+000
+5.68437500000E+006, -9.27573580580E+000, +0.00000000000E+000
+6.62125000000E+006, -9.28298597289E+000, +0.00000000000E+000
+7.55812500000E+006, -9.29926623000E+000, +0.00000000000E+000
+8.49500000000E+006, -9.32251934530E+000, +0.00000000000E+000
+9.43187500000E+006, -9.35134481532E+000, +0.00000000000E+000
+1.03687500000E+007, -9.38478150896E+000, +0.00000000000E+000
+1.13056250000E+007, -9.42231975413E+000, +0.00000000000E+000
+1.22425000000E+007, -9.46337483402E+000, +0.00000000000E+000
+1.31793750000E+007, -9.47080583007E+000, +0.00000000000E+000
+1.41162500000E+007, -9.49879487116E+000, +0.00000000000E+000
+1.50531250000E+007, -9.53486686903E+000, +0.00000000000E+000
+1.59900000000E+007, -9.57626045277E+000, +0.00000000000E+000
+1.69268750000E+007, -9.62161151838E+000, +0.00000000000E+000
+1.78637500000E+007, -9.66976839019E+000, +0.00000000000E+000
+1.88006250000E+007, -9.72012157319E+000, +0.00000000000E+000
+1.97375000000E+007, -9.77242030495E+000, +0.00000000000E+000
+2.06743750000E+007, -9.82657669297E+000, +0.00000000000E+000
+2.16112500000E+007, -9.88232892601E+000, +0.00000000000E+000
+2.25481250000E+007, -9.93956387084E+000, +0.00000000000E+000
+2.34850000000E+007, -9.99812544199E+000, +0.00000000000E+000
+2.44218750000E+007, -1.00577268550E+001, +0.00000000000E+000
+2.53587500000E+007, -1.01183682401E+001, +0.00000000000E+000
+2.62956250000E+007, -1.01799800138E+001, +0.00000000000E+000
+2.72325000000E+007, -1.02424152016E+001, +0.00000000000E+000
+2.81693750000E+007, -1.03054718619E+001, +0.00000000000E+000
+2.91062500000E+007, -1.03691015075E+001, +0.00000000000E+000
+3.00431250000E+007, -1.04331089373E+001, +0.00000000000E+000
+3.09800000000E+007, -1.04973766196E+001, +0.00000000000E+000
+3.19168750000E+007, -1.05617114617E+001, +0.00000000000E+000
+3.28537500000E+007, -1.06259947219E+001, +0.00000000000E+000
+3.37906250000E+007, -1.06901279088E+001, +0.00000000000E+000
+3.47275000000E+007, -1.07538193412E+001, +0.00000000000E+000
+3.56643750000E+007, -1.08169218748E+001, +0.00000000000E+000
+3.66012500000E+007, -1.08794071557E+001, +0.00000000000E+000
+3.75381250000E+007, -1.09410263817E+001, +0.00000000000E+000
+3.84750000000E+007, -1.10020188051E+001, +0.00000000000E+000
+3.94118750000E+007, -1.10635280224E+001, +0.00000000000E+000
+4.03487500000E+007, -1.11236036020E+001, +0.00000000000E+000
+4.12856250000E+007, -1.11820275269E+001, +0.00000000000E+000
+4.22225000000E+007, -1.12386361538E+001, +0.00000000000E+000
+4.31593750000E+007, -1.12933462953E+001, +0.00000000000E+000
+4.40962500000E+007, -1.13456847509E+001, +0.00000000000E+000
+4.50331250000E+007, -1.13956498411E+001, +0.00000000000E+000
+4.59700000000E+007, -1.14431471631E+001, +0.00000000000E+000
+4.69068750000E+007, -1.14878675215E+001, +0.00000000000E+000
+4.78437500000E+007, -1.15296607022E+001, +0.00000000000E+000
+4.87806250000E+007, -1.15684590628E+001, +0.00000000000E+000
+4.97175000000E+007, -1.16041375497E+001, +0.00000000000E+000
+5.06543750000E+007, -1.16364128849E+001, +0.00000000000E+000
+5.15912500000E+007, -1.16652186033E+001, +0.00000000000E+000
+5.25281250000E+007, -1.16904930137E+001, +0.00000000000E+000
+5.34650000000E+007, -1.17120722687E+001, +0.00000000000E+000
+5.44018750000E+007, -1.17298868866E+001, +0.00000000000E+000
+5.53387500000E+007, -1.17439716028E+001, +0.00000000000E+000
+5.62756250000E+007, -1.17542671992E+001, +0.00000000000E+000
+5.72125000000E+007, -1.17605939789E+001, +0.00000000000E+000
+5.81493750000E+007, -1.17629913733E+001, +0.00000000000E+000
+5.90862500000E+007, -1.17616170351E+001, +0.00000000000E+000
+6.00231250000E+007, -1.17563159225E+001, +0.00000000000E+000
+6.09600000000E+007, -1.17470017654E+001, +0.00000000000E+000
+6.18968750000E+007, -1.17336139335E+001, +0.00000000000E+000
+6.28337500000E+007, -1.17147708361E+001, +0.00000000000E+000
+6.37706250000E+007, -1.16922667674E+001, +0.00000000000E+000
+6.47075000000E+007, -1.16661565480E+001, +0.00000000000E+000
+6.56443750000E+007, -1.16366634935E+001, +0.00000000000E+000
+6.65812500000E+007, -1.16037537295E+001, +0.00000000000E+000
+6.75181250000E+007, -1.15677782008E+001, +0.00000000000E+000
+6.84550000000E+007, -1.15287847029E+001, +0.00000000000E+000
+6.93918750000E+007, -1.14870522709E+001, +0.00000000000E+000
+7.03287500000E+007, -1.14425983172E+001, +0.00000000000E+000
+7.12656250000E+007, -1.13956534688E+001, +0.00000000000E+000
+7.22025000000E+007, -1.13465317107E+001, +0.00000000000E+000
+7.31393750000E+007, -1.12951947541E+001, +0.00000000000E+000
+7.40762500000E+007, -1.12418621272E+001, +0.00000000000E+000
+7.50131250000E+007, -1.11869526289E+001, +0.00000000000E+000
+7.59500000000E+007, -1.11305746187E+001, +0.00000000000E+000
+7.68868750000E+007, -1.10727679916E+001, +0.00000000000E+000
+7.78237500000E+007, -1.10138713738E+001, +0.00000000000E+000
+7.87606250000E+007, -1.09540386655E+001, +0.00000000000E+000
+7.96975000000E+007, -1.08934671356E+001, +0.00000000000E+000
+8.06343750000E+007, -1.08322255549E+001, +0.00000000000E+000
+8.15712500000E+007, -1.07706423324E+001, +0.00000000000E+000
+8.25081250000E+007, -1.07089256058E+001, +0.00000000000E+000
+8.34450000000E+007, -1.06470931640E+001, +0.00000000000E+000
+8.43818750000E+007, -1.05854125356E+001, +0.00000000000E+000
+8.53187500000E+007, -1.05239806887E+001, +0.00000000000E+000
+8.62556250000E+007, -1.04629166967E+001, +0.00000000000E+000
+8.71925000000E+007, -1.04023482945E+001, +0.00000000000E+000
+8.81293750000E+007, -1.03426735633E+001, +0.00000000000E+000
+8.90662500000E+007, -1.02838008315E+001, +0.00000000000E+000
+9.00031250000E+007, -1.02258699217E+001, +0.00000000000E+000
+9.09400000000E+007, -1.01690600325E+001, +0.00000000000E+000
+9.18768750000E+007, -1.01135555450E+001, +0.00000000000E+000
+9.28137500000E+007, -1.00592307286E+001, +0.00000000000E+000
+9.37506250000E+007, -1.00063671643E+001, +0.00000000000E+000
+9.46875000000E+007, -9.95498154268E+000, +0.00000000000E+000
+9.56243750000E+007, -9.90519082545E+000, +0.00000000000E+000
+9.65612500000E+007, -9.85698343146E+000, +0.00000000000E+000
+9.74981250000E+007, -9.81054277825E+000, +0.00000000000E+000
+9.84350000000E+007, -9.76593230782E+000, +0.00000000000E+000
+9.93718750000E+007, -9.72310056114E+000, +0.00000000000E+000
+1.00308750000E+008, -9.68222019632E+000, +0.00000000000E+000
+1.01245625000E+008, -9.64330203197E+000, +0.00000000000E+000
+1.02182500000E+008, -9.60643456583E+000, +0.00000000000E+000
+1.03119375000E+008, -9.57156023999E+000, +0.00000000000E+000
+1.04056250000E+008, -9.53881318229E+000, +0.00000000000E+000
+1.04993125000E+008, -9.50828496441E+000, +0.00000000000E+000
+1.05930000000E+008, -9.47982970645E+000, +0.00000000000E+000
+1.06866875000E+008, -9.45352494524E+000, +0.00000000000E+000
+1.07803750000E+008, -9.42943727294E+000, +0.00000000000E+000
+1.08740625000E+008, -9.40758505799E+000, +0.00000000000E+000
+1.09677500000E+008, -9.38789345166E+000, +0.00000000000E+000
+1.10614375000E+008, -9.37042143853E+000, +0.00000000000E+000
+1.11551250000E+008, -9.35517797116E+000, +0.00000000000E+000
+1.12488125000E+008, -9.34219767060E+000, +0.00000000000E+000
+1.13425000000E+008, -9.33139025666E+000, +0.00000000000E+000
+1.14361875000E+008, -9.32283726479E+000, +0.00000000000E+000
+1.15298750000E+008, -9.31643264455E+000, +0.00000000000E+000
+1.16235625000E+008, -9.31216227103E+000, +0.00000000000E+000
+1.17172500000E+008, -9.31011903980E+000, +0.00000000000E+000
+1.18109375000E+008, -9.31031628128E+000, +0.00000000000E+000
+1.19046250000E+008, -9.31253083320E+000, +0.00000000000E+000
+1.19983125000E+008, -9.31679683747E+000, +0.00000000000E+000
+1.20920000000E+008, -9.32336549534E+000, +0.00000000000E+000
+1.21856875000E+008, -9.33197679047E+000, +0.00000000000E+000
+1.22793750000E+008, -9.34257096574E+000, +0.00000000000E+000
+1.23730625000E+008, -9.35524908880E+000, +0.00000000000E+000
+1.24667500000E+008, -9.36992400369E+000, +0.00000000000E+000
+1.25604375000E+008, -9.38641562437E+000, +0.00000000000E+000
+1.26541250000E+008, -9.40473090627E+000, +0.00000000000E+000
+1.27478125000E+008, -9.42496831460E+000, +0.00000000000E+000
+1.28415000000E+008, -9.44699862790E+000, +0.00000000000E+000
+1.29351875000E+008, -9.47092253954E+000, +0.00000000000E+000
+1.30288750000E+008, -9.49638249962E+000, +0.00000000000E+000
+1.31225625000E+008, -9.52345609470E+000, +0.00000000000E+000
+1.32162500000E+008, -9.55197797262E+000, +0.00000000000E+000
+1.33099375000E+008, -9.58201052536E+000, +0.00000000000E+000
+1.34036250000E+008, -9.61348711792E+000, +0.00000000000E+000
+1.34973125000E+008, -9.64637265536E+000, +0.00000000000E+000
+1.35910000000E+008, -9.68049227305E+000, +0.00000000000E+000
+1.36846875000E+008, -9.71581576455E+000, +0.00000000000E+000
+1.37783750000E+008, -9.75214302253E+000, +0.00000000000E+000
+1.38720625000E+008, -9.78857569632E+000, +0.00000000000E+000
+1.39657500000E+008, -9.82516298201E+000, +0.00000000000E+000
+1.40594375000E+008, -9.86249734472E+000, +0.00000000000E+000
+1.41531250000E+008, -9.90053421916E+000, +0.00000000000E+000
+1.42468125000E+008, -9.93919901126E+000, +0.00000000000E+000
+1.43405000000E+008, -9.97845884600E+000, +0.00000000000E+000
+1.44341875000E+008, -1.00179749301E+001, +0.00000000000E+000
+1.45278750000E+008, -1.00576981351E+001, +0.00000000000E+000
+1.46215625000E+008, -1.00976292777E+001, +0.00000000000E+000
+1.47152500000E+008, -1.01375128815E+001, +0.00000000000E+000
+1.48089375000E+008, -1.01773413426E+001, +0.00000000000E+000
+1.49026250000E+008, -1.02169138101E+001, +0.00000000000E+000
+1.49963125000E+008, -1.02561436113E+001, +0.00000000000E+000
