"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.21503320008E+001, +0.00000000000E+000
+1.93687500000E+006, -1.18744176665E+001, +0.00000000000E+000
+2.87375000000E+006, -1.17513279084E+001, +0.00000000000E+000
+3.81062500000E+006, -1.16767124076E+001, +0.00000000000E+000
+4.74750000000E+006, -1.16350847585E+001, +0.00000000000E+000
+5.68437500000E+006, -1.16147168824E+001, +0.00000000000E+000
+6.62125000000E+006, -1.16105770503E+001, +0.00000000000E+000
+7.55812500000E+006, -1.16208202070E+001, +0.00000000000E+000
+8.49500000000E+006, -1.16462668523E+001, +0.00000000000E+000
+9.43187500000E+006, -1.16858534057E+001, +0.00000000000E+000
+1.03687500000E+007, -1.17370696925E+001, +0.00000000000E+000
+1.13056250000E+007, -1.17972327741E+001, +0.00000000000E+000
+1.22425000000E+007, -1.18539356326E+001, +0.00000000000E+000
+1.31793750000E+007, -1.18733458320E+001, +0.00000000000E+000
+1.41162500000E+007, -1.19091066545E+001, +0.00000000000E+000
+1.50531250000E+007, -1.19529378596E+001, +0.00000000000E+000
+1.59900000000E+007, -1.20080778312E+001, +0.00000000000E+000
+1.69268750000E+007, -1.20746380589E+001, +0.00000000000E+000
+1.78637500000E+007, -1.21513794583E+001, +0.00000000000E+000
+1.88006250000E+007, -1.22388729145E+001, +0.00000000000E+000
+1.97375000000E+007, -1.23364950198E+001, +0.00000000000E+000
+2.06743750000E+007, -1.24430176995E+001, +0.00000000000E+000
+2.16112500000E+007, -1.25575533860E+001, +0.00000000000E+000
+2.25481250000E+007, -1.26801362460E+001, +0.00000000000E+000
+2.34850000000E+007, -1.28107441042E+001, +0.00000000000E+000
+2.44218750000E+007, -1.29516401246E+001, +0.00000000000E+000
+2.53587500000E+007, -1.31056303315E+001, +0.00000000000E+000
+2.62956250000E+007, -1.32764494303E+001, +0.00000000000E+000
+2.72325000000E+007, -1.34637916637E+001, +0.00000000000E+000
+2.81693750000E+007, -1.36643418150E+001, +0.00000000000E+000
+2.91062500000E+007, -1.38749431146E+001, +0.00000000000E+000
+3.00431250000E+007, -1.40923281097E+001, +0.00000000000E+000
+3.09800000000E+007, -1.43120587765E+001, +0.00000000000E+000
+3.19168750000E+007, -1.45336979951E+001, +0.00000000000E+000
+3.28537500000E+007, -1.47577364476E+001, +0.00000000000E+000
+3.37906250000E+007, -1.49858411606E+001, +0.00000000000E+000
+3.47275000000E+007, -1.52204210379E+001, +0.00000000000E+000
+3.56643750000E+007, -1.54634539577E+001, +0.00000000000E+000
+3.66012500000E+007, -1.57134650842E+001, +0.00000000000E+000
+3.75381250000E+007, -1.59829192157E+001, +0.00000000000E+000
+3.84750000000E+007, -1.62786389728E+001, +0.00000000000E+000
+3.94118750000E+007, -1.66041230758E+001, +0.00000000000E+000
+4.03487500000E+007, -1.69615291035E+001, +0.00000000000E+000
+4.12856250000E+007, -1.73767509247E+001, +0.00000000000E+000
+4.22225000000E+007, -1.78388909832E+001, +0.00000000000E+000
+4.31593750000E+007, -1.83065263254E+001, +0.00000000000E+000
+4.40962500000E+007, -1.87719941480E+001, +0.00000000000E+000
+4.50331250000E+007, -1.92357559673E+001, +0.00000000000E+000
+4.59700000000E+007, -1.96950932318E+001, +0.00000000000E+000
+4.69068750000E+007, -2.01492963541E+001, +0.00000000000E+000
+4.78437500000E+007, -2.05937643507E+001, +0.00000000000E+000
+4.87806250000E+007, -2.10258614873E+001, +0.00000000000E+000
+4.97175000000E+007, -2.14393104060E+001, +0.00000000000E+000
+5.06543750000E+007, -2.18282116598E+001, +0.00000000000E+000
+5.15912500000E+007, -2.21920785919E+001, +0.00000000000E+000
+5.25281250000E+007, -2.25303532277E+001, +0.00000000000E+000
+5.34650000000E+007, -2.28382898778E+001, +0.00000000000E+000
+5.44018750000E+007, -2.31209441012E+001, +0.00000000000E+000
+5.53387500000E+007, -2.33783380739E+001, +0.00000000000E+000
+5.62756250000E+007, -2.36183718007E+001, +0.00000000000E+000
+5.72125000000E+007, -2.38446643587E+001, +0.00000000000E+000
+5.81493750000E+007, -2.40608975844E+001, +0.00000000000E+000
+5.90862500000E+007, -2.42682107160E+001, +0.00000000000E+000
+6.00231250000E+007, -2.44609343630E+001, +0.00000000000E+000
+6.09600000000E+007, -2.46289938040E+001, +0.00000000000E+000
+6.18968750000E+007, -2.47657354357E+001, +0.00000000000E+000
+6.28337500000E+007, -2.48630219853E+001, +0.00000000000E+000
+6.37706250000E+007, -2.49145013977E+001, +0.00000000000E+000
+6.47075000000E+007, -2.48994778318E+001, +0.00000000000E+000
+6.56443750000E+007, -2.48277381165E+001, +0.00000000000E+000
+6.65812500000E+007, -2.47389618410E+001, +0.00000000000E+000
+6.75181250000E+007, -2.46397660251E+001, +0.00000000000E+000
+6.84550000000E+007, -2.45257375726E+001, +0.00000000000E+000
+6.93918750000E+007, -2.43985929236E+001, +0.00000000000E+000
+7.03287500000E+007, -2.42572133549E+001, +0.00000000000E+000
+7.12656250000E+007, -2.41042797278E+001, +0.00000000000E+000
+7.22025000000E+007, -2.39413476621E+001, +0.00000000000E+000
+7.31393750000E+007, -2.37692548152E+001, +0.00000000000E+000
+7.40762500000E+007, -2.35934237166E+001, +0.00000000000E+000
+7.50131250000E+007, -2.34198172597E+001, +0.00000000000E+000
+7.59500000000E+007, -2.32514597261E+001, +0.00000000000E+000
+7.68868750000E+007, -2.30957748051E+001, +0.00000000000E+000
+7.78237500000E+007, -2.29510909070E+001, +0.00000000000E+000
+7.87606250000E+007, -2.28197407668E+001, +0.00000000000E+000
+7.96975000000E+007, -2.26926125102E+001, +0.00000000000E+000
+8.06343750000E+007, -2.25650702674E+001, +0.00000000000E+000
+8.15712500000E+007, -2.24336288601E+001, +0.00000000000E+000
+8.25081250000E+007, -2.22912611634E+001, +0.00000000000E+000
+8.34450000000E+007, -2.21125476079E+001, +0.00000000000E+000
+8.43818750000E+007, -2.19516645895E+001, +0.00000000000E+000
+8.53187500000E+007, -2.17999404309E+001, +0.00000000000E+000
+8.62556250000E+007, -2.16505755120E+001, +0.00000000000E+000
+8.71925000000E+007, -2.15017936058E+001, +0.00000000000E+000
+8.81293750000E+007, -2.13489770611E+001, +0.00000000000E+000
+8.90662500000E+007, -2.11930626861E+001, +0.00000000000E+000
+9.00031250000E+007, -2.10354182953E+001, +0.00000000000E+000
+9.09400000000E+007, -2.08861115579E+001, +0.00000000000E+000
+9.18768750000E+007, -2.07598566045E+001, +0.00000000000E+000
+9.28137500000E+007, -2.06741003443E+001, +0.00000000000E+000
+9.37506250000E+007, -2.06296772261E+001, +0.00000000000E+000
+9.46875000000E+007, -2.06387572806E+001, +0.00000000000E+000
+9.56243750000E+007, -2.06991833269E+001, +0.00000000000E+000
+9.65612500000E+007, -2.08031784832E+001, +0.00000000000E+000
+9.74981250000E+007, -2.09770540657E+001, +0.00000000000E+000
+9.84350000000E+007, -2.11888029049E+001, +0.00000000000E+000
+9.93718750000E+007, -2.14198284591E+001, +0.00000000000E+000
+1.00308750000E+008, -2.16768832947E+001, +0.00000000000E+000
+1.01245625000E+008, -2.19620626539E+001, +0.00000000000E+000
+1.02182500000E+008, -2.22883569619E+001, +0.00000000000E+000
+1.03119375000E+008, -2.26403293265E+001, +0.00000000000E+000
+1.04056250000E+008, -2.30165044527E+001, +0.00000000000E+000
+1.04993125000E+008, -2.34173228085E+001, +0.00000000000E+000
+1.05930000000E+008, -2.38501915555E+001, +0.00000000000E+000
+1.06866875000E+008, -2.43291821135E+001, +0.00000000000E+000
+1.07803750000E+008, -2.48134181312E+001, +0.00000000000E+000
+1.08740625000E+008, -2.53016785197E+001, +0.00000000000E+000
+1.09677500000E+008, -2.57963625505E+001, +0.00000000000E+000
+1.10614375000E+008, -2.62957045611E+001, +0.00000000000E+000
+1.11551250000E+008, -2.68011185655E+001, +0.00000000000E+000
+1.12488125000E+008, -2.73193366327E+001, +0.00000000000E+000
+1.13425000000E+008, -2.78146143911E+001, +0.00000000000E+000
+1.14361875000E+008, -2.82880743211E+001, +0.00000000000E+000
+1.15298750000E+008, -2.87268449956E+001, +0.00000000000E+000
+1.16235625000E+008, -2.91103061310E+001, +0.00000000000E+000
+1.17172500000E+008, -2.94401659468E+001, +0.00000000000E+000
+1.18109375000E+008, -2.96984569119E+001, +0.00000000000E+000
+1.19046250000E+008, -2.98949602807E+001, +0.00000000000E+000
+1.19983125000E+008, -3.00421756347E+001, +0.00000000000E+000
+1.20920000000E+008, -3.01132476268E+001, +0.00000000000E+000
+1.21856875000E+008, -3.01432393721E+001, +0.00000000000E+000
+1.22793750000E+008, -3.01521913476E+001, +0.00000000000E+000
+1.23730625000E+008, -3.01344636288E+001, +0.00000000000E+000
+1.24667500000E+008, -3.00952243309E+001, +0.00000000000E+000
+1.25604375000E+008, -3.00287095300E+001, +0.00000000000E+000
+1.26541250000E+008, -2.99580225441E+001, +0.00000000000E+000
