"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.67574379935E+000, +0.00000000000E+000
+1.93687500000E+006, -9.37881355652E+000, +0.00000000000E+000
+2.87375000000E+006, -9.26312459518E+000, +0.00000000000E+000
+3.81062500000E+006, -9.20366477051E+000, +0.00000000000E+000
+4.74750000000E+006, -9.17091178766E+000, +0.00000000000E+000
+5.68437500000E+006, -9.15100857246E+000, +0.00000000000E+000
+6.62125000000E+006, -9.13912701467E+000, +0.00000000000E+000
+7.55812500000E+006, -9.13267691283E+000, +0.00000000000E+000
+8.49500000000E+006, -9.12968811881E+000, +0.00000000000E+000
+9.43187500000E+006, -9.12897760569E+000, +0.00000000000E+000
+1.03687500000E+007, -9.12977808554E+000, +0.00000000000E+000
+1.13056250000E+007, -9.13183358115E+000, +0.00000000000E+000
+1.22425000000E+007, -9.13468691227E+000, +0.00000000000E+000
+1.31793750000E+007, -9.11475749206E+000, +0.00000000000E+000
+1.41162500000E+007, -9.11064644025E+000, +0.00000000000E+000
+1.50531250000E+007, -9.11149289503E+000, +0.00000000000E+000
+1.59900000000E+007, -9.11507171538E+000, +0.00000000000E+000
+1.69268750000E+007, -9.12033765945E+000, +0.00000000000E+000
+1.78637500000E+007, -9.12648077789E+000, +0.00000000000E+000
+1.88006250000E+007, -9.13305799274E+000, +0.00000000000E+000
+1.97375000000E+007, -9.13973245896E+000, +0.00000000000E+000
+2.06743750000E+007, -9.14673367940E+000, +0.00000000000E+000
+2.16112500000E+007, -9.15386350365E+000, +0.00000000000E+000
+2.25481250000E+007, -9.16090748046E+000, +0.00000000000E+000
+2.34850000000E+007, -9.16804554296E+000, +0.00000000000E+000
+2.44218750000E+007, -9.17499479299E+000, +0.00000000000E+000
+2.53587500000E+007, -9.18189432709E+000, +0.00000000000E+000
+2.62956250000E+007, -9.18877508158E+000, +0.00000000000E+000
+2.72325000000E+007, -9.19546878134E+000, +0.00000000000E+000
+2.81693750000E+007, -9.20213063381E+000, +0.00000000000E+000
+2.91062500000E+007, -9.20869783920E+000, +0.00000000000E+000
+3.00431250000E+007, -9.21502124767E+000, +0.00000000000E+000
+3.09800000000E+007, -9.22144525895E+000, +0.00000000000E+000
+3.19168750000E+007, -9.22777747766E+000, +0.00000000000E+000
+3.28537500000E+007, -9.23392057039E+000, +0.00000000000E+000
+3.37906250000E+007, -9.24017069296E+000, +0.00000000000E+000
+3.47275000000E+007, -9.24620948260E+000, +0.00000000000E+000
+3.56643750000E+007, -9.25220561228E+000, +0.00000000000E+000
+3.66012500000E+007, -9.25823267695E+000, +0.00000000000E+000
+3.75381250000E+007, -9.26405408920E+000, +0.00000000000E+000
+3.84750000000E+007, -9.26991913936E+000, +0.00000000000E+000
+3.94118750000E+007, -9.27682901245E+000, +0.00000000000E+000
+4.03487500000E+007, -9.28356513722E+000, +0.00000000000E+000
+4.12856250000E+007, -9.29031684846E+000, +0.00000000000E+000
+4.22225000000E+007, -9.29701771011E+000, +0.00000000000E+000
+4.31593750000E+007, -9.30361314624E+000, +0.00000000000E+000
+4.40962500000E+007, -9.31026069783E+000, +0.00000000000E+000
+4.50331250000E+007, -9.31682019506E+000, +0.00000000000E+000
+4.59700000000E+007, -9.32328736432E+000, +0.00000000000E+000
+4.69068750000E+007, -9.32982399528E+000, +0.00000000000E+000
+4.78437500000E+007, -9.33626891464E+000, +0.00000000000E+000
+4.87806250000E+007, -9.34259135921E+000, +0.00000000000E+000
+4.97175000000E+007, -9.34897322191E+000, +0.00000000000E+000
+5.06543750000E+007, -9.35522532321E+000, +0.00000000000E+000
+5.15912500000E+007, -9.36145209347E+000, +0.00000000000E+000
+5.25281250000E+007, -9.36772147619E+000, +0.00000000000E+000
+5.34650000000E+007, -9.37386791602E+000, +0.00000000000E+000
+5.44018750000E+007, -9.37998158410E+000, +0.00000000000E+000
+5.53387500000E+007, -9.38613059896E+000, +0.00000000000E+000
+5.62756250000E+007, -9.39210432557E+000, +0.00000000000E+000
+5.72125000000E+007, -9.39807932309E+000, +0.00000000000E+000
+5.81493750000E+007, -9.40410846483E+000, +0.00000000000E+000
+5.90862500000E+007, -9.40989881444E+000, +0.00000000000E+000
+6.00231250000E+007, -9.41575058472E+000, +0.00000000000E+000
+6.09600000000E+007, -9.42157789689E+000, +0.00000000000E+000
+6.18968750000E+007, -9.42723823026E+000, +0.00000000000E+000
+6.28337500000E+007, -9.43198356794E+000, +0.00000000000E+000
+6.37706250000E+007, -9.43658047540E+000, +0.00000000000E+000
+6.47075000000E+007, -9.44112337559E+000, +0.00000000000E+000
+6.56443750000E+007, -9.44571295624E+000, +0.00000000000E+000
+6.65812500000E+007, -9.45017532981E+000, +0.00000000000E+000
+6.75181250000E+007, -9.45455510384E+000, +0.00000000000E+000
+6.84550000000E+007, -9.45897920918E+000, +0.00000000000E+000
+6.93918750000E+007, -9.46327871751E+000, +0.00000000000E+000
+7.03287500000E+007, -9.46759069717E+000, +0.00000000000E+000
+7.12656250000E+007, -9.47186908118E+000, +0.00000000000E+000
+7.22025000000E+007, -9.47605201417E+000, +0.00000000000E+000
+7.31393750000E+007, -9.48030940540E+000, +0.00000000000E+000
+7.40762500000E+007, -9.48457380100E+000, +0.00000000000E+000
+7.50131250000E+007, -9.48861548149E+000, +0.00000000000E+000
+7.59500000000E+007, -9.49280414910E+000, +0.00000000000E+000
+7.68868750000E+007, -9.49697370705E+000, +0.00000000000E+000
+7.78237500000E+007, -9.50102213362E+000, +0.00000000000E+000
+7.87606250000E+007, -9.50514835770E+000, +0.00000000000E+000
+7.96975000000E+007, -9.50918328790E+000, +0.00000000000E+000
+8.06343750000E+007, -9.51319748541E+000, +0.00000000000E+000
+8.15712500000E+007, -9.51727485301E+000, +0.00000000000E+000
+8.25081250000E+007, -9.52126881653E+000, +0.00000000000E+000
+8.34450000000E+007, -9.52530756681E+000, +0.00000000000E+000
+8.43818750000E+007, -9.52940967995E+000, +0.00000000000E+000
+8.53187500000E+007, -9.53335905616E+000, +0.00000000000E+000
+8.62556250000E+007, -9.53740163668E+000, +0.00000000000E+000
+8.71925000000E+007, -9.54155876886E+000, +0.00000000000E+000
+8.81293750000E+007, -9.54558313885E+000, +0.00000000000E+000
+8.90662500000E+007, -9.54970214088E+000, +0.00000000000E+000
+9.00031250000E+007, -9.55390978702E+000, +0.00000000000E+000
+9.09400000000E+007, -9.55800403527E+000, +0.00000000000E+000
+9.18768750000E+007, -9.56230947164E+000, +0.00000000000E+000
+9.28137500000E+007, -9.56658683523E+000, +0.00000000000E+000
+9.37506250000E+007, -9.57085149013E+000, +0.00000000000E+000
+9.46875000000E+007, -9.57535495034E+000, +0.00000000000E+000
+9.56243750000E+007, -9.57979619885E+000, +0.00000000000E+000
+9.65612500000E+007, -9.58432130185E+000, +0.00000000000E+000
+9.74981250000E+007, -9.58898055941E+000, +0.00000000000E+000
+9.84350000000E+007, -9.59368582108E+000, +0.00000000000E+000
+9.93718750000E+007, -9.59842508434E+000, +0.00000000000E+000
+1.00308750000E+008, -9.60330082827E+000, +0.00000000000E+000
+1.01245625000E+008, -9.60810190245E+000, +0.00000000000E+000
+1.02182500000E+008, -9.61310461264E+000, +0.00000000000E+000
+1.03119375000E+008, -9.61832216294E+000, +0.00000000000E+000
+1.04056250000E+008, -9.62345364302E+000, +0.00000000000E+000
+1.04993125000E+008, -9.62876752860E+000, +0.00000000000E+000
+1.05930000000E+008, -9.63417482648E+000, +0.00000000000E+000
+1.06866875000E+008, -9.63951336001E+000, +0.00000000000E+000
+1.07803750000E+008, -9.64507721709E+000, +0.00000000000E+000
+1.08740625000E+008, -9.65063267931E+000, +0.00000000000E+000
+1.09677500000E+008, -9.65625061157E+000, +0.00000000000E+000
+1.10614375000E+008, -9.66200690803E+000, +0.00000000000E+000
+1.11551250000E+008, -9.66777154196E+000, +0.00000000000E+000
+1.12488125000E+008, -9.67359610524E+000, +0.00000000000E+000
+1.13425000000E+008, -9.67953831008E+000, +0.00000000000E+000
+1.14361875000E+008, -9.68549989332E+000, +0.00000000000E+000
+1.15298750000E+008, -9.69147700739E+000, +0.00000000000E+000
+1.16235625000E+008, -9.69757818280E+000, +0.00000000000E+000
+1.17172500000E+008, -9.70359413145E+000, +0.00000000000E+000
+1.18109375000E+008, -9.70974264068E+000, +0.00000000000E+000
+1.19046250000E+008, -9.71598115225E+000, +0.00000000000E+000
+1.19983125000E+008, -9.72210936356E+000, +0.00000000000E+000
+1.20920000000E+008, -9.72840053904E+000, +0.00000000000E+000
+1.21856875000E+008, -9.73466788328E+000, +0.00000000000E+000
+1.22793750000E+008, -9.74083692930E+000, +0.00000000000E+000
+1.23730625000E+008, -9.74718875851E+000, +0.00000000000E+000
+1.24667500000E+008, -9.75352330189E+000, +0.00000000000E+000
+1.25604375000E+008, -9.75980026210E+000, +0.00000000000E+000
+1.26541250000E+008, -9.76610077296E+000, +0.00000000000E+000
+1.27478125000E+008, -9.77228388279E+000, +0.00000000000E+000
+1.28415000000E+008, -9.77843092724E+000, +0.00000000000E+000
+1.29351875000E+008, -9.78464001704E+000, +0.00000000000E+000
+1.30288750000E+008, -9.79071884359E+000, +0.00000000000E+000
+1.31225625000E+008, -9.79675574477E+000, +0.00000000000E+000
+1.32162500000E+008, -9.80291091171E+000, +0.00000000000E+000
+1.33099375000E+008, -9.80882680518E+000, +0.00000000000E+000
+1.34036250000E+008, -9.81479495628E+000, +0.00000000000E+000
+1.34973125000E+008, -9.82071524271E+000, +0.00000000000E+000
+1.35910000000E+008, -9.82640417583E+000, +0.00000000000E+000
+1.36846875000E+008, -9.83222296189E+000, +0.00000000000E+000
+1.37783750000E+008, -9.83789847974E+000, +0.00000000000E+000
+1.38720625000E+008, -9.84293990806E+000, +0.00000000000E+000
+1.39657500000E+008, -9.84752800609E+000, +0.00000000000E+000
+1.40594375000E+008, -9.85192847226E+000, +0.00000000000E+000
+1.41531250000E+008, -9.85612837989E+000, +0.00000000000E+000
+1.42468125000E+008, -9.86035852835E+000, +0.00000000000E+000
+1.43405000000E+008, -9.86428850553E+000, +0.00000000000E+000
+1.44341875000E+008, -9.86812142201E+000, +0.00000000000E+000
+1.45278750000E+008, -9.87197029202E+000, +0.00000000000E+000
+1.46215625000E+008, -9.87559019483E+000, +0.00000000000E+000
+1.47152500000E+008, -9.87909713828E+000, +0.00000000000E+000
+1.48089375000E+008, -9.88253681699E+000, +0.00000000000E+000
+1.49026250000E+008, -9.88566173908E+000, +0.00000000000E+000
+1.49963125000E+008, -9.88876980470E+000, +0.00000000000E+000
+1.50900000000E+008, -9.89182725031E+000, +0.00000000000E+000
+1.51836875000E+008, -9.89469721973E+000, +0.00000000000E+000
+1.52773750000E+008, -9.89754439654E+000, +0.00000000000E+000
+1.53710625000E+008, -9.90026071020E+000, +0.00000000000E+000
+1.54647500000E+008, -9.90276384153E+000, +0.00000000000E+000
+1.55584375000E+008, -9.90532924032E+000, +0.00000000000E+000
+1.56521250000E+008, -9.90769749070E+000, +0.00000000000E+000
+1.57458125000E+008, -9.91001399051E+000, +0.00000000000E+000
+1.58395000000E+008, -9.91238851985E+000, +0.00000000000E+000
+1.59331875000E+008, -9.91465699900E+000, +0.00000000000E+000
+1.60268750000E+008, -9.91677953071E+000, +0.00000000000E+000
+1.61205625000E+008, -9.91897385760E+000, +0.00000000000E+000
+1.62142500000E+008, -9.92149749186E+000, +0.00000000000E+000
+1.63079375000E+008, -9.92464259958E+000, +0.00000000000E+000
+1.64016250000E+008, -9.92788130261E+000, +0.00000000000E+000
+1.64953125000E+008, -9.93102933706E+000, +0.00000000000E+000
+1.65890000000E+008, -9.93434099244E+000, +0.00000000000E+000
+1.66826875000E+008, -9.93777919760E+000, +0.00000000000E+000
+1.67763750000E+008, -9.94111684425E+000, +0.00000000000E+000
+1.68700625000E+008, -9.94467085478E+000, +0.00000000000E+000
+1.69637500000E+008, -9.94828915650E+000, +0.00000000000E+000
+1.70574375000E+008, -9.95195984007E+000, +0.00000000000E+000
+1.71511250000E+008, -9.95581768535E+000, +0.00000000000E+000
+1.72448125000E+008, -9.95971007144E+000, +0.00000000000E+000
+1.73385000000E+008, -9.96374034012E+000, +0.00000000000E+000
+1.74321875000E+008, -9.96799080074E+000, +0.00000000000E+000
+1.75258750000E+008, -9.97221389426E+000, +0.00000000000E+000
+1.76195625000E+008, -9.97665528165E+000, +0.00000000000E+000
+1.77132500000E+008, -9.98127848126E+000, +0.00000000000E+000
