"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.81077081029E+001, +0.00000000000E+000
+1.93687500000E+006, -1.78846972557E+001, +0.00000000000E+000
+2.87375000000E+006, -1.77961685414E+001, +0.00000000000E+000
+3.81062500000E+006, -1.77388442222E+001, +0.00000000000E+000
+4.74750000000E+006, -1.77038880498E+001, +0.00000000000E+000
+5.68437500000E+006, -1.76804118891E+001, +0.00000000000E+000
+6.62125000000E+006, -1.76618017569E+001, +0.00000000000E+000
+7.55812500000E+006, -1.76543657820E+001, +0.00000000000E+000
+8.49500000000E+006, -1.76467844464E+001, +0.00000000000E+000
+9.43187500000E+006, -1.76351210942E+001, +0.00000000000E+000
+1.03687500000E+007, -1.76275354953E+001, +0.00000000000E+000
+1.13056250000E+007, -1.76191342304E+001, +0.00000000000E+000
+1.22425000000E+007, -1.76095959863E+001, +0.00000000000E+000
+1.31793750000E+007, -1.75828041879E+001, +0.00000000000E+000
+1.41162500000E+007, -1.75676462634E+001, +0.00000000000E+000
+1.50531250000E+007, -1.75565951510E+001, +0.00000000000E+000
+1.59900000000E+007, -1.75475347792E+001, +0.00000000000E+000
+1.69268750000E+007, -1.75394786183E+001, +0.00000000000E+000
+1.78637500000E+007, -1.75330717618E+001, +0.00000000000E+000
+1.88006250000E+007, -1.75261606048E+001, +0.00000000000E+000
+1.97375000000E+007, -1.75191612408E+001, +0.00000000000E+000
+2.06743750000E+007, -1.75143237258E+001, +0.00000000000E+000
+2.16112500000E+007, -1.75069036088E+001, +0.00000000000E+000
+2.25481250000E+007, -1.75016678558E+001, +0.00000000000E+000
+2.34850000000E+007, -1.74973066218E+001, +0.00000000000E+000
+2.44218750000E+007, -1.74929462112E+001, +0.00000000000E+000
+2.53587500000E+007, -1.74879539822E+001, +0.00000000000E+000
+2.62956250000E+007, -1.74814816065E+001, +0.00000000000E+000
+2.72325000000E+007, -1.74751116896E+001, +0.00000000000E+000
+2.81693750000E+007, -1.74707592267E+001, +0.00000000000E+000
+2.91062500000E+007, -1.74694686307E+001, +0.00000000000E+000
+3.00431250000E+007, -1.74693076613E+001, +0.00000000000E+000
+3.09800000000E+007, -1.74687423772E+001, +0.00000000000E+000
+3.19168750000E+007, -1.74668527418E+001, +0.00000000000E+000
+3.28537500000E+007, -1.74692333534E+001, +0.00000000000E+000
+3.37906250000E+007, -1.74723512998E+001, +0.00000000000E+000
+3.47275000000E+007, -1.74749725863E+001, +0.00000000000E+000
+3.56643750000E+007, -1.74799951895E+001, +0.00000000000E+000
+3.66012500000E+007, -1.74895861203E+001, +0.00000000000E+000
+3.75381250000E+007, -1.74965432506E+001, +0.00000000000E+000
+3.84750000000E+007, -1.75068987617E+001, +0.00000000000E+000
+3.94118750000E+007, -1.75167994831E+001, +0.00000000000E+000
+4.03487500000E+007, -1.75272762219E+001, +0.00000000000E+000
+4.12856250000E+007, -1.75388865736E+001, +0.00000000000E+000
+4.22225000000E+007, -1.75501612367E+001, +0.00000000000E+000
+4.31593750000E+007, -1.75664843416E+001, +0.00000000000E+000
+4.40962500000E+007, -1.75780298042E+001, +0.00000000000E+000
+4.50331250000E+007, -1.75940935920E+001, +0.00000000000E+000
+4.59700000000E+007, -1.76071081289E+001, +0.00000000000E+000
+4.69068750000E+007, -1.76214866214E+001, +0.00000000000E+000
+4.78437500000E+007, -1.76369545930E+001, +0.00000000000E+000
+4.87806250000E+007, -1.76515840738E+001, +0.00000000000E+000
+4.97175000000E+007, -1.76660903261E+001, +0.00000000000E+000
+5.06543750000E+007, -1.76808343381E+001, +0.00000000000E+000
+5.15912500000E+007, -1.76948949179E+001, +0.00000000000E+000
+5.25281250000E+007, -1.77080795771E+001, +0.00000000000E+000
+5.34650000000E+007, -1.77198376974E+001, +0.00000000000E+000
+5.44018750000E+007, -1.77314607006E+001, +0.00000000000E+000
+5.53387500000E+007, -1.77450581086E+001, +0.00000000000E+000
+5.62756250000E+007, -1.77558833697E+001, +0.00000000000E+000
+5.72125000000E+007, -1.77647604505E+001, +0.00000000000E+000
+5.81493750000E+007, -1.77753362647E+001, +0.00000000000E+000
+5.90862500000E+007, -1.77854630004E+001, +0.00000000000E+000
+6.00231250000E+007, -1.77929566914E+001, +0.00000000000E+000
+6.09600000000E+007, -1.78017361246E+001, +0.00000000000E+000
+6.18968750000E+007, -1.78081107872E+001, +0.00000000000E+000
+6.28337500000E+007, -1.78151487039E+001, +0.00000000000E+000
+6.37706250000E+007, -1.78209179298E+001, +0.00000000000E+000
+6.47075000000E+007, -1.78279631569E+001, +0.00000000000E+000
+6.56443750000E+007, -1.78327643891E+001, +0.00000000000E+000
+6.65812500000E+007, -1.78339132756E+001, +0.00000000000E+000
+6.75181250000E+007, -1.78379055605E+001, +0.00000000000E+000
+6.84550000000E+007, -1.78421596250E+001, +0.00000000000E+000
+6.93918750000E+007, -1.78451534940E+001, +0.00000000000E+000
+7.03287500000E+007, -1.78477891253E+001, +0.00000000000E+000
+7.12656250000E+007, -1.78494811555E+001, +0.00000000000E+000
