"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.65108857836E+001, +0.00000000000E+000
+1.93687500000E+006, -1.62533266616E+001, +0.00000000000E+000
+2.87375000000E+006, -1.61485671815E+001, +0.00000000000E+000
+3.81062500000E+006, -1.60913150260E+001, +0.00000000000E+000
+4.74750000000E+006, -1.60577504846E+001, +0.00000000000E+000
+5.68437500000E+006, -1.60356512784E+001, +0.00000000000E+000
+6.62125000000E+006, -1.60207720152E+001, +0.00000000000E+000
+7.55812500000E+006, -1.60106960747E+001, +0.00000000000E+000
+8.49500000000E+006, -1.60033765089E+001, +0.00000000000E+000
+9.43187500000E+006, -1.59987274865E+001, +0.00000000000E+000
+1.03687500000E+007, -1.59955128805E+001, +0.00000000000E+000
+1.13056250000E+007, -1.59926261618E+001, +0.00000000000E+000
+1.22425000000E+007, -1.59893227666E+001, +0.00000000000E+000
+1.31793750000E+007, -1.59666486903E+001, +0.00000000000E+000
+1.41162500000E+007, -1.59572218326E+001, +0.00000000000E+000
+1.50531250000E+007, -1.59519188659E+001, +0.00000000000E+000
+1.59900000000E+007, -1.59488121732E+001, +0.00000000000E+000
+1.69268750000E+007, -1.59476507984E+001, +0.00000000000E+000
+1.78637500000E+007, -1.59469853871E+001, +0.00000000000E+000
+1.88006250000E+007, -1.59468686876E+001, +0.00000000000E+000
+1.97375000000E+007, -1.59468746925E+001, +0.00000000000E+000
+2.06743750000E+007, -1.59473239025E+001, +0.00000000000E+000
+2.16112500000E+007, -1.59480215732E+001, +0.00000000000E+000
+2.25481250000E+007, -1.59489919417E+001, +0.00000000000E+000
+2.34850000000E+007, -1.59502593795E+001, +0.00000000000E+000
+2.44218750000E+007, -1.59515056307E+001, +0.00000000000E+000
+2.53587500000E+007, -1.59530080746E+001, +0.00000000000E+000
+2.62956250000E+007, -1.59548068889E+001, +0.00000000000E+000
+2.72325000000E+007, -1.59567718376E+001, +0.00000000000E+000
+2.81693750000E+007, -1.59588726753E+001, +0.00000000000E+000
+2.91062500000E+007, -1.59611208918E+001, +0.00000000000E+000
+3.00431250000E+007, -1.59636579432E+001, +0.00000000000E+000
+3.09800000000E+007, -1.59665823357E+001, +0.00000000000E+000
+3.19168750000E+007, -1.59697894465E+001, +0.00000000000E+000
+3.28537500000E+007, -1.59735216084E+001, +0.00000000000E+000
+3.37906250000E+007, -1.59780088059E+001, +0.00000000000E+000
+3.47275000000E+007, -1.59831256771E+001, +0.00000000000E+000
+3.56643750000E+007, -1.59890842108E+001, +0.00000000000E+000
+3.66012500000E+007, -1.59957813818E+001, +0.00000000000E+000
+3.75381250000E+007, -1.60031696703E+001, +0.00000000000E+000
+3.84750000000E+007, -1.60110991829E+001, +0.00000000000E+000
+3.94118750000E+007, -1.60195977414E+001, +0.00000000000E+000
+4.03487500000E+007, -1.60282781416E+001, +0.00000000000E+000
+4.12856250000E+007, -1.60373670017E+001, +0.00000000000E+000
+4.22225000000E+007, -1.60464995371E+001, +0.00000000000E+000
+4.31593750000E+007, -1.60560410024E+001, +0.00000000000E+000
+4.40962500000E+007, -1.60655580325E+001, +0.00000000000E+000
+4.50331250000E+007, -1.60753966214E+001, +0.00000000000E+000
+4.59700000000E+007, -1.60849818388E+001, +0.00000000000E+000
+4.69068750000E+007, -1.60947144316E+001, +0.00000000000E+000
+4.78437500000E+007, -1.61044539301E+001, +0.00000000000E+000
+4.87806250000E+007, -1.61141284464E+001, +0.00000000000E+000
+4.97175000000E+007, -1.61236940269E+001, +0.00000000000E+000
+5.06543750000E+007, -1.61331683036E+001, +0.00000000000E+000
+5.15912500000E+007, -1.61425989436E+001, +0.00000000000E+000
+5.25281250000E+007, -1.61518998387E+001, +0.00000000000E+000
+5.34650000000E+007, -1.61609338306E+001, +0.00000000000E+000
+5.44018750000E+007, -1.61697639598E+001, +0.00000000000E+000
+5.53387500000E+007, -1.61782027729E+001, +0.00000000000E+000
+5.62756250000E+007, -1.61863643983E+001, +0.00000000000E+000
+5.72125000000E+007, -1.61942442374E+001, +0.00000000000E+000
+5.81493750000E+007, -1.62018302694E+001, +0.00000000000E+000
+5.90862500000E+007, -1.62091004080E+001, +0.00000000000E+000
+6.00231250000E+007, -1.62158098402E+001, +0.00000000000E+000
+6.09600000000E+007, -1.62221218787E+001, +0.00000000000E+000
+6.18968750000E+007, -1.62281730140E+001, +0.00000000000E+000
+6.28337500000E+007, -1.62339648979E+001, +0.00000000000E+000
+6.37706250000E+007, -1.62395328866E+001, +0.00000000000E+000
+6.47075000000E+007, -1.62448974783E+001, +0.00000000000E+000
+6.56443750000E+007, -1.62502825890E+001, +0.00000000000E+000
+6.65812500000E+007, -1.62552601168E+001, +0.00000000000E+000
+6.75181250000E+007, -1.62602408773E+001, +0.00000000000E+000
+6.84550000000E+007, -1.62646269629E+001, +0.00000000000E+000
+6.93918750000E+007, -1.62691185041E+001, +0.00000000000E+000
+7.03287500000E+007, -1.62733148042E+001, +0.00000000000E+000
+7.12656250000E+007, -1.62773811277E+001, +0.00000000000E+000
+7.22025000000E+007, -1.62812259556E+001, +0.00000000000E+000
+7.31393750000E+007, -1.62848912241E+001, +0.00000000000E+000
+7.40762500000E+007, -1.62885263581E+001, +0.00000000000E+000
+7.50131250000E+007, -1.62920593551E+001, +0.00000000000E+000
+7.59500000000E+007, -1.62953689233E+001, +0.00000000000E+000
+7.68868750000E+007, -1.62986312546E+001, +0.00000000000E+000
+7.78237500000E+007, -1.63015363748E+001, +0.00000000000E+000
+7.87606250000E+007, -1.63045305883E+001, +0.00000000000E+000
+7.96975000000E+007, -1.63074043047E+001, +0.00000000000E+000
+8.06343750000E+007, -1.63101945470E+001, +0.00000000000E+000
+8.15712500000E+007, -1.63129378196E+001, +0.00000000000E+000
+8.25081250000E+007, -1.63155240613E+001, +0.00000000000E+000
+8.34450000000E+007, -1.63187991499E+001, +0.00000000000E+000
+8.43818750000E+007, -1.63216015370E+001, +0.00000000000E+000
+8.53187500000E+007, -1.63241476020E+001, +0.00000000000E+000
+8.62556250000E+007, -1.63264206675E+001, +0.00000000000E+000
+8.71925000000E+007, -1.63286062221E+001, +0.00000000000E+000
+8.81293750000E+007, -1.63307628121E+001, +0.00000000000E+000
+8.90662500000E+007, -1.63328705565E+001, +0.00000000000E+000
+9.00031250000E+007, -1.63350050914E+001, +0.00000000000E+000
+9.09400000000E+007, -1.63373521747E+001, +0.00000000000E+000
+9.18768750000E+007, -1.63399784127E+001, +0.00000000000E+000
+9.28137500000E+007, -1.63425691400E+001, +0.00000000000E+000
+9.37506250000E+007, -1.63452915422E+001, +0.00000000000E+000
+9.46875000000E+007, -1.63480950233E+001, +0.00000000000E+000
+9.56243750000E+007, -1.63510659071E+001, +0.00000000000E+000
+9.65612500000E+007, -1.63541714093E+001, +0.00000000000E+000
+9.74981250000E+007, -1.63575981439E+001, +0.00000000000E+000
+9.84350000000E+007, -1.63610844944E+001, +0.00000000000E+000
+9.93718750000E+007, -1.63647538830E+001, +0.00000000000E+000
+1.00308750000E+008, -1.63684266525E+001, +0.00000000000E+000
+1.01245625000E+008, -1.63725984335E+001, +0.00000000000E+000
+1.02182500000E+008, -1.63768052724E+001, +0.00000000000E+000
+1.03119375000E+008, -1.63811995305E+001, +0.00000000000E+000
+1.04056250000E+008, -1.63858198285E+001, +0.00000000000E+000
+1.04993125000E+008, -1.63905883246E+001, +0.00000000000E+000
+1.05930000000E+008, -1.63955587448E+001, +0.00000000000E+000
+1.06866875000E+008, -1.63999846801E+001, +0.00000000000E+000
+1.07803750000E+008, -1.64050643104E+001, +0.00000000000E+000
+1.08740625000E+008, -1.64103961650E+001, +0.00000000000E+000
+1.09677500000E+008, -1.64159626266E+001, +0.00000000000E+000
+1.10614375000E+008, -1.64218634866E+001, +0.00000000000E+000
+1.11551250000E+008, -1.64279776814E+001, +0.00000000000E+000
+1.12488125000E+008, -1.64340602682E+001, +0.00000000000E+000
+1.13425000000E+008, -1.64403154995E+001, +0.00000000000E+000
+1.14361875000E+008, -1.64464111044E+001, +0.00000000000E+000
+1.15298750000E+008, -1.64525515774E+001, +0.00000000000E+000
+1.16235625000E+008, -1.64586565108E+001, +0.00000000000E+000
+1.17172500000E+008, -1.64649637392E+001, +0.00000000000E+000
+1.18109375000E+008, -1.64710694263E+001, +0.00000000000E+000
+1.19046250000E+008, -1.64771462185E+001, +0.00000000000E+000
+1.19983125000E+008, -1.64831856991E+001, +0.00000000000E+000
+1.20920000000E+008, -1.64891884182E+001, +0.00000000000E+000
+1.21856875000E+008, -1.64949501291E+001, +0.00000000000E+000
+1.22793750000E+008, -1.65006466339E+001, +0.00000000000E+000
+1.23730625000E+008, -1.65063337323E+001, +0.00000000000E+000
+1.24667500000E+008, -1.65119092438E+001, +0.00000000000E+000
+1.25604375000E+008, -1.65173745839E+001, +0.00000000000E+000
+1.26541250000E+008, -1.65224571671E+001, +0.00000000000E+000
+1.27478125000E+008, -1.65275249880E+001, +0.00000000000E+000
+1.28415000000E+008, -1.65323871898E+001, +0.00000000000E+000
+1.29351875000E+008, -1.65370609179E+001, +0.00000000000E+000
+1.30288750000E+008, -1.65414454530E+001, +0.00000000000E+000
+1.31225625000E+008, -1.65456670746E+001, +0.00000000000E+000
+1.32162500000E+008, -1.65496592111E+001, +0.00000000000E+000
+1.33099375000E+008, -1.65535926144E+001, +0.00000000000E+000
+1.34036250000E+008, -1.65573426480E+001, +0.00000000000E+000
+1.34973125000E+008, -1.65607423452E+001, +0.00000000000E+000
+1.35910000000E+008, -1.65639682163E+001, +0.00000000000E+000
+1.36846875000E+008, -1.65669200921E+001, +0.00000000000E+000
