"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.64945341697E+001, +0.00000000000E+000
+1.93687500000E+006, -1.63495797993E+001, +0.00000000000E+000
+2.87375000000E+006, -1.63267609894E+001, +0.00000000000E+000
+3.81062500000E+006, -1.63558124426E+001, +0.00000000000E+000
+4.74750000000E+006, -1.63388351376E+001, +0.00000000000E+000
+5.68437500000E+006, -1.62839710161E+001, +0.00000000000E+000
+6.62125000000E+006, -1.61960138364E+001, +0.00000000000E+000
+7.55812500000E+006, -1.61057879294E+001, +0.00000000000E+000
+8.49500000000E+006, -1.60140565676E+001, +0.00000000000E+000
+9.43187500000E+006, -1.59411571200E+001, +0.00000000000E+000
+1.03687500000E+007, -1.58785285402E+001, +0.00000000000E+000
+1.13056250000E+007, -1.58244295947E+001, +0.00000000000E+000
+1.22425000000E+007, -1.57549781949E+001, +0.00000000000E+000
+1.31793750000E+007, -1.56787572507E+001, +0.00000000000E+000
+1.41162500000E+007, -1.56041159254E+001, +0.00000000000E+000
+1.50531250000E+007, -1.55397998122E+001, +0.00000000000E+000
+1.59900000000E+007, -1.54769407166E+001, +0.00000000000E+000
+1.69268750000E+007, -1.54135870992E+001, +0.00000000000E+000
+1.78637500000E+007, -1.53488482092E+001, +0.00000000000E+000
+1.88006250000E+007, -1.52907607653E+001, +0.00000000000E+000
+1.97375000000E+007, -1.52442922558E+001, +0.00000000000E+000
+2.06743750000E+007, -1.52130794068E+001, +0.00000000000E+000
+2.16112500000E+007, -1.51983620699E+001, +0.00000000000E+000
+2.25481250000E+007, -1.51869593952E+001, +0.00000000000E+000
+2.34850000000E+007, -1.51956701450E+001, +0.00000000000E+000
+2.44218750000E+007, -1.52167990372E+001, +0.00000000000E+000
+2.53587500000E+007, -1.52497987706E+001, +0.00000000000E+000
+2.62956250000E+007, -1.52963970056E+001, +0.00000000000E+000
+2.72325000000E+007, -1.53573575774E+001, +0.00000000000E+000
+2.81693750000E+007, -1.54320464266E+001, +0.00000000000E+000
+2.91062500000E+007, -1.55181217905E+001, +0.00000000000E+000
+3.00431250000E+007, -1.56189931959E+001, +0.00000000000E+000
+3.09800000000E+007, -1.57334505462E+001, +0.00000000000E+000
+3.19168750000E+007, -1.58580423880E+001, +0.00000000000E+000
+3.28537500000E+007, -1.60060686502E+001, +0.00000000000E+000
+3.37906250000E+007, -1.61858578855E+001, +0.00000000000E+000
+3.47275000000E+007, -1.63857545522E+001, +0.00000000000E+000
+3.56643750000E+007, -1.65945195446E+001, +0.00000000000E+000
+3.66012500000E+007, -1.68224406445E+001, +0.00000000000E+000
+3.75381250000E+007, -1.70667267078E+001, +0.00000000000E+000
+3.84750000000E+007, -1.73123666588E+001, +0.00000000000E+000
+3.94118750000E+007, -1.75645108544E+001, +0.00000000000E+000
+4.03487500000E+007, -1.78295175999E+001, +0.00000000000E+000
+4.12856250000E+007, -1.81084318298E+001, +0.00000000000E+000
+4.22225000000E+007, -1.84094194751E+001, +0.00000000000E+000
+4.31593750000E+007, -1.87416208281E+001, +0.00000000000E+000
+4.40962500000E+007, -1.91054273397E+001, +0.00000000000E+000
+4.50331250000E+007, -1.94836231514E+001, +0.00000000000E+000
+4.59700000000E+007, -1.98742631129E+001, +0.00000000000E+000
+4.69068750000E+007, -2.02572454916E+001, +0.00000000000E+000
+4.78437500000E+007, -2.06332512928E+001, +0.00000000000E+000
+4.87806250000E+007, -2.09983683813E+001, +0.00000000000E+000
+4.97175000000E+007, -2.13499078656E+001, +0.00000000000E+000
+5.06543750000E+007, -2.16877918724E+001, +0.00000000000E+000
+5.15912500000E+007, -2.20118453512E+001, +0.00000000000E+000
+5.25281250000E+007, -2.23213881848E+001, +0.00000000000E+000
+5.34650000000E+007, -2.26159644789E+001, +0.00000000000E+000
+5.44018750000E+007, -2.28957505340E+001, +0.00000000000E+000
+5.53387500000E+007, -2.31555356420E+001, +0.00000000000E+000
+5.62756250000E+007, -2.33726339984E+001, +0.00000000000E+000
+5.72125000000E+007, -2.35408697101E+001, +0.00000000000E+000
+5.81493750000E+007, -2.36900796304E+001, +0.00000000000E+000
+5.90862500000E+007, -2.38310367899E+001, +0.00000000000E+000
+6.00231250000E+007, -2.39657646813E+001, +0.00000000000E+000
+6.09600000000E+007, -2.40897321292E+001, +0.00000000000E+000
+6.18968750000E+007, -2.42009514732E+001, +0.00000000000E+000
+6.28337500000E+007, -2.43019112058E+001, +0.00000000000E+000
+6.37706250000E+007, -2.43884149045E+001, +0.00000000000E+000
+6.47075000000E+007, -2.44497790677E+001, +0.00000000000E+000
+6.56443750000E+007, -2.44764299573E+001, +0.00000000000E+000
+6.65812500000E+007, -2.44584680547E+001, +0.00000000000E+000
+6.75181250000E+007, -2.43937842697E+001, +0.00000000000E+000
+6.84550000000E+007, -2.42935668628E+001, +0.00000000000E+000
+6.93918750000E+007, -2.41757996897E+001, +0.00000000000E+000
+7.03287500000E+007, -2.40457120279E+001, +0.00000000000E+000
+7.12656250000E+007, -2.39063119141E+001, +0.00000000000E+000
+7.22025000000E+007, -2.37615910761E+001, +0.00000000000E+000
+7.31393750000E+007, -2.36129951796E+001, +0.00000000000E+000
+7.40762500000E+007, -2.34605458903E+001, +0.00000000000E+000
+7.50131250000E+007, -2.33029762074E+001, +0.00000000000E+000
+7.59500000000E+007, -2.31406287740E+001, +0.00000000000E+000
+7.68868750000E+007, -2.29732628688E+001, +0.00000000000E+000
+7.78237500000E+007, -2.27998080371E+001, +0.00000000000E+000
+7.87606250000E+007, -2.26297568289E+001, +0.00000000000E+000
