"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.57207135704E+001, +0.00000000000E+000
+1.93687500000E+006, -1.54274566486E+001, +0.00000000000E+000
+2.87375000000E+006, -1.53103980990E+001, +0.00000000000E+000
+3.81062500000E+006, -1.52497629829E+001, +0.00000000000E+000
+4.74750000000E+006, -1.52153771342E+001, +0.00000000000E+000
+5.68437500000E+006, -1.51943377980E+001, +0.00000000000E+000
+6.62125000000E+006, -1.51817784058E+001, +0.00000000000E+000
+7.55812500000E+006, -1.51747925554E+001, +0.00000000000E+000
+8.49500000000E+006, -1.51712545442E+001, +0.00000000000E+000
+9.43187500000E+006, -1.51702885897E+001, +0.00000000000E+000
+1.03687500000E+007, -1.51710535542E+001, +0.00000000000E+000
+1.13056250000E+007, -1.51730098140E+001, +0.00000000000E+000
+1.22425000000E+007, -1.51757782178E+001, +0.00000000000E+000
+1.31793750000E+007, -1.51557547261E+001, +0.00000000000E+000
+1.41162500000E+007, -1.51512034106E+001, +0.00000000000E+000
+1.50531250000E+007, -1.51517705390E+001, +0.00000000000E+000
+1.59900000000E+007, -1.51551147873E+001, +0.00000000000E+000
+1.69268750000E+007, -1.51604926790E+001, +0.00000000000E+000
+1.78637500000E+007, -1.51666706383E+001, +0.00000000000E+000
+1.88006250000E+007, -1.51733188325E+001, +0.00000000000E+000
+1.97375000000E+007, -1.51803056112E+001, +0.00000000000E+000
+2.06743750000E+007, -1.51875696940E+001, +0.00000000000E+000
+2.16112500000E+007, -1.51950533021E+001, +0.00000000000E+000
+2.25481250000E+007, -1.52024600734E+001, +0.00000000000E+000
+2.34850000000E+007, -1.52099523596E+001, +0.00000000000E+000
+2.44218750000E+007, -1.52172927810E+001, +0.00000000000E+000
+2.53587500000E+007, -1.52247545724E+001, +0.00000000000E+000
+2.62956250000E+007, -1.52318683263E+001, +0.00000000000E+000
+2.72325000000E+007, -1.52391205371E+001, +0.00000000000E+000
+2.81693750000E+007, -1.52462115295E+001, +0.00000000000E+000
