"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.56457439259E+001, +0.00000000000E+000
+1.93687500000E+006, -1.53756088853E+001, +0.00000000000E+000
+2.87375000000E+006, -1.52711114884E+001, +0.00000000000E+000
+3.81062500000E+006, -1.52170773820E+001, +0.00000000000E+000
+4.74750000000E+006, -1.51874515854E+001, +0.00000000000E+000
+5.68437500000E+006, -1.51694806151E+001, +0.00000000000E+000
+6.62125000000E+006, -1.51594820372E+001, +0.00000000000E+000
+7.55812500000E+006, -1.51542344299E+001, +0.00000000000E+000
+8.49500000000E+006, -1.51521981886E+001, +0.00000000000E+000
+9.43187500000E+006, -1.51524048665E+001, +0.00000000000E+000
+1.03687500000E+007, -1.51542036168E+001, +0.00000000000E+000
+1.13056250000E+007, -1.51570365411E+001, +0.00000000000E+000
+1.22425000000E+007, -1.51606657473E+001, +0.00000000000E+000
+1.31793750000E+007, -1.51434825277E+001, +0.00000000000E+000
+1.41162500000E+007, -1.51403547726E+001, +0.00000000000E+000
+1.50531250000E+007, -1.51421526104E+001, +0.00000000000E+000
+1.59900000000E+007, -1.51461340489E+001, +0.00000000000E+000
+1.69268750000E+007, -1.51520975984E+001, +0.00000000000E+000
+1.78637500000E+007, -1.51587483283E+001, +0.00000000000E+000
+1.88006250000E+007, -1.51657619395E+001, +0.00000000000E+000
+1.97375000000E+007, -1.51729327857E+001, +0.00000000000E+000
+2.06743750000E+007, -1.51803205306E+001, +0.00000000000E+000
+2.16112500000E+007, -1.51879796864E+001, +0.00000000000E+000
+2.25481250000E+007, -1.51955675481E+001, +0.00000000000E+000
+2.34850000000E+007, -1.52032315195E+001, +0.00000000000E+000
+2.44218750000E+007, -1.52106311460E+001, +0.00000000000E+000
+2.53587500000E+007, -1.52182213396E+001, +0.00000000000E+000
+2.62956250000E+007, -1.52254928932E+001, +0.00000000000E+000
+2.72325000000E+007, -1.52329249479E+001, +0.00000000000E+000
+2.81693750000E+007, -1.52400180774E+001, +0.00000000000E+000
+2.91062500000E+007, -1.52472497253E+001, +0.00000000000E+000
+3.00431250000E+007, -1.52540334152E+001, +0.00000000000E+000
+3.09800000000E+007, -1.52609826906E+001, +0.00000000000E+000
+3.19168750000E+007, -1.52676319867E+001, +0.00000000000E+000
+3.28537500000E+007, -1.52743809097E+001, +0.00000000000E+000
+3.37906250000E+007, -1.52809259402E+001, +0.00000000000E+000
+3.47275000000E+007, -1.52874500873E+001, +0.00000000000E+000
+3.56643750000E+007, -1.52938986460E+001, +0.00000000000E+000
+3.66012500000E+007, -1.53003590511E+001, +0.00000000000E+000
+3.75381250000E+007, -1.53068608379E+001, +0.00000000000E+000
+3.84750000000E+007, -1.53131801363E+001, +0.00000000000E+000
+3.94118750000E+007, -1.53195634116E+001, +0.00000000000E+000
+4.03487500000E+007, -1.53257400234E+001, +0.00000000000E+000
+4.12856250000E+007, -1.53320290160E+001, +0.00000000000E+000
+4.22225000000E+007, -1.53380758643E+001, +0.00000000000E+000
+4.31593750000E+007, -1.53442941211E+001, +0.00000000000E+000
+4.40962500000E+007, -1.53502479636E+001, +0.00000000000E+000
+4.50331250000E+007, -1.53563512316E+001, +0.00000000000E+000
+4.59700000000E+007, -1.53621667264E+001, +0.00000000000E+000
+4.69068750000E+007, -1.53682298356E+001, +0.00000000000E+000
+4.78437500000E+007, -1.53739895830E+001, +0.00000000000E+000
+4.87806250000E+007, -1.53798857438E+001, +0.00000000000E+000
