"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.69469697828E+000, +0.00000000000E+000
+1.93687500000E+006, -9.39617152965E+000, +0.00000000000E+000
+2.87375000000E+006, -9.27898702702E+000, +0.00000000000E+000
+3.81062500000E+006, -9.21843062440E+000, +0.00000000000E+000
+4.74750000000E+006, -9.18427466979E+000, +0.00000000000E+000
+5.68437500000E+006, -9.16325340860E+000, +0.00000000000E+000
+6.62125000000E+006, -9.15109966255E+000, +0.00000000000E+000
+7.55812500000E+006, -9.14419607215E+000, +0.00000000000E+000
+8.49500000000E+006, -9.14084973935E+000, +0.00000000000E+000
+9.43187500000E+006, -9.14001298853E+000, +0.00000000000E+000
+1.03687500000E+007, -9.14083990555E+000, +0.00000000000E+000
+1.13056250000E+007, -9.14283713858E+000, +0.00000000000E+000
+1.22425000000E+007, -9.14571367662E+000, +0.00000000000E+000
+1.31793750000E+007, -9.12559524003E+000, +0.00000000000E+000
+1.41162500000E+007, -9.12122994161E+000, +0.00000000000E+000
+1.50531250000E+007, -9.12198864499E+000, +0.00000000000E+000
+1.59900000000E+007, -9.12555308201E+000, +0.00000000000E+000
+1.69268750000E+007, -9.13096640916E+000, +0.00000000000E+000
+1.78637500000E+007, -9.13722595072E+000, +0.00000000000E+000
+1.88006250000E+007, -9.14384820284E+000, +0.00000000000E+000
+1.97375000000E+007, -9.15077251090E+000, +0.00000000000E+000
+2.06743750000E+007, -9.15797556559E+000, +0.00000000000E+000
+2.16112500000E+007, -9.16554837450E+000, +0.00000000000E+000
+2.25481250000E+007, -9.17309360786E+000, +0.00000000000E+000
+2.34850000000E+007, -9.18046758055E+000, +0.00000000000E+000
+2.44218750000E+007, -9.18795226704E+000, +0.00000000000E+000
+2.53587500000E+007, -9.19529502843E+000, +0.00000000000E+000
+2.62956250000E+007, -9.20260842521E+000, +0.00000000000E+000
+2.72325000000E+007, -9.20975107597E+000, +0.00000000000E+000
+2.81693750000E+007, -9.21686336158E+000, +0.00000000000E+000
+2.91062500000E+007, -9.22392161912E+000, +0.00000000000E+000
+3.00431250000E+007, -9.23077446498E+000, +0.00000000000E+000
+3.09800000000E+007, -9.23752991955E+000, +0.00000000000E+000
+3.19168750000E+007, -9.24422831158E+000, +0.00000000000E+000
+3.28537500000E+007, -9.25097904209E+000, +0.00000000000E+000
+3.37906250000E+007, -9.25750462776E+000, +0.00000000000E+000
+3.47275000000E+007, -9.26402059663E+000, +0.00000000000E+000
+3.56643750000E+007, -9.27043584222E+000, +0.00000000000E+000
+3.66012500000E+007, -9.27680381683E+000, +0.00000000000E+000
+3.75381250000E+007, -9.28328686794E+000, +0.00000000000E+000
+3.84750000000E+007, -9.28956629018E+000, +0.00000000000E+000
+3.94118750000E+007, -9.29601667124E+000, +0.00000000000E+000
+4.03487500000E+007, -9.30218940950E+000, +0.00000000000E+000
+4.12856250000E+007, -9.30847508436E+000, +0.00000000000E+000
+4.22225000000E+007, -9.31469764978E+000, +0.00000000000E+000
+4.31593750000E+007, -9.32082719426E+000, +0.00000000000E+000
+4.40962500000E+007, -9.32694650977E+000, +0.00000000000E+000
+4.50331250000E+007, -9.33284311078E+000, +0.00000000000E+000
+4.59700000000E+007, -9.33876071731E+000, +0.00000000000E+000
+4.69068750000E+007, -9.34465307096E+000, +0.00000000000E+000
+4.78437500000E+007, -9.35048597917E+000, +0.00000000000E+000
+4.87806250000E+007, -9.35629292105E+000, +0.00000000000E+000
+4.97175000000E+007, -9.36192131411E+000, +0.00000000000E+000
+5.06543750000E+007, -9.36780469890E+000, +0.00000000000E+000
+5.15912500000E+007, -9.37352523444E+000, +0.00000000000E+000
+5.25281250000E+007, -9.37910265238E+000, +0.00000000000E+000
+5.34650000000E+007, -9.38474711147E+000, +0.00000000000E+000
+5.44018750000E+007, -9.39028582993E+000, +0.00000000000E+000
+5.53387500000E+007, -9.39588361308E+000, +0.00000000000E+000
+5.62756250000E+007, -9.40135286500E+000, +0.00000000000E+000
+5.72125000000E+007, -9.40686924618E+000, +0.00000000000E+000
+5.81493750000E+007, -9.41229933610E+000, +0.00000000000E+000
+5.90862500000E+007, -9.41767658937E+000, +0.00000000000E+000
+6.00231250000E+007, -9.42303132921E+000, +0.00000000000E+000
+6.09600000000E+007, -9.42808268547E+000, +0.00000000000E+000
+6.18968750000E+007, -9.43322732457E+000, +0.00000000000E+000
+6.28337500000E+007, -9.43826926598E+000, +0.00000000000E+000
+6.37706250000E+007, -9.44332194622E+000, +0.00000000000E+000
+6.47075000000E+007, -9.44820718445E+000, +0.00000000000E+000
+6.56443750000E+007, -9.45296881012E+000, +0.00000000000E+000
+6.65812500000E+007, -9.45777455789E+000, +0.00000000000E+000
