"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -3.03638828104E+000, +0.00000000000E+000
+1.08062500000E+007, -3.04375850262E+000, +0.00000000000E+000
+1.16125000000E+007, -3.05129550492E+000, +0.00000000000E+000
+1.24187500000E+007, -3.05851885430E+000, +0.00000000000E+000
+1.32250000000E+007, -3.06601743303E+000, +0.00000000000E+000
+1.40312500000E+007, -3.07348937003E+000, +0.00000000000E+000
+1.48375000000E+007, -3.08094048471E+000, +0.00000000000E+000
+1.56437500000E+007, -3.08822369264E+000, +0.00000000000E+000
+1.64500000000E+007, -3.09551294541E+000, +0.00000000000E+000
+1.72562500000E+007, -3.10271840965E+000, +0.00000000000E+000
+1.80625000000E+007, -3.10983022904E+000, +0.00000000000E+000
+1.88687500000E+007, -3.11684317065E+000, +0.00000000000E+000
+1.96750000000E+007, -3.12376871245E+000, +0.00000000000E+000
+2.04812500000E+007, -3.13083528474E+000, +0.00000000000E+000
+2.12875000000E+007, -3.13779844536E+000, +0.00000000000E+000
+2.20937500000E+007, -3.14482933095E+000, +0.00000000000E+000
+2.29000000000E+007, -3.15170912332E+000, +0.00000000000E+000
+2.37062500000E+007, -3.15856240294E+000, +0.00000000000E+000
+2.45125000000E+007, -3.16544630178E+000, +0.00000000000E+000
+2.53187500000E+007, -3.17222540866E+000, +0.00000000000E+000
+2.61250000000E+007, -3.17893785556E+000, +0.00000000000E+000
+2.69312500000E+007, -3.18561309877E+000, +0.00000000000E+000
+2.77375000000E+007, -3.19221344956E+000, +0.00000000000E+000
+2.85437500000E+007, -3.19879218427E+000, +0.00000000000E+000
+2.93500000000E+007, -3.20528606014E+000, +0.00000000000E+000
+3.01562500000E+007, -3.21176803794E+000, +0.00000000000E+000
+3.09625000000E+007, -3.21823903371E+000, +0.00000000000E+000
+3.17687500000E+007, -3.22468259214E+000, +0.00000000000E+000
+3.25750000000E+007, -3.23101797886E+000, +0.00000000000E+000
+3.33812500000E+007, -3.23733390498E+000, +0.00000000000E+000
+3.41875000000E+007, -3.24361725731E+000, +0.00000000000E+000
+3.49937500000E+007, -3.24987093742E+000, +0.00000000000E+000
+3.58000000000E+007, -3.25605901795E+000, +0.00000000000E+000
+3.66062500000E+007, -3.26222832983E+000, +0.00000000000E+000
+3.74125000000E+007, -3.26841268418E+000, +0.00000000000E+000
+3.82187500000E+007, -3.27455720815E+000, +0.00000000000E+000
+3.90250000000E+007, -3.28067031376E+000, +0.00000000000E+000
+3.98312500000E+007, -3.28680147241E+000, +0.00000000000E+000
+4.06375000000E+007, -3.29291588330E+000, +0.00000000000E+000
+4.14437500000E+007, -3.29906874029E+000, +0.00000000000E+000
+4.22500000000E+007, -3.30515015587E+000, +0.00000000000E+000
+4.30562500000E+007, -3.31134980467E+000, +0.00000000000E+000
+4.38625000000E+007, -3.31743749871E+000, +0.00000000000E+000
+4.46687500000E+007, -3.32347071343E+000, +0.00000000000E+000
+4.54750000000E+007, -3.32955463297E+000, +0.00000000000E+000
+4.62812500000E+007, -3.33560412429E+000, +0.00000000000E+000
+4.70875000000E+007, -3.34169975195E+000, +0.00000000000E+000
+4.78937500000E+007, -3.34781315178E+000, +0.00000000000E+000
+4.87000000000E+007, -3.35386170838E+000, +0.00000000000E+000
+4.95062500000E+007, -3.35989733827E+000, +0.00000000000E+000
+5.03125000000E+007, -3.36590869068E+000, +0.00000000000E+000
+5.11187500000E+007, -3.37188048001E+000, +0.00000000000E+000
+5.19250000000E+007, -3.37781376972E+000, +0.00000000000E+000
+5.27312500000E+007, -3.38385534103E+000, +0.00000000000E+000
+5.35375000000E+007, -3.38982687195E+000, +0.00000000000E+000
+5.43437500000E+007, -3.39577785423E+000, +0.00000000000E+000
+5.51500000000E+007, -3.40169095213E+000, +0.00000000000E+000
+5.59562500000E+007, -3.40763318507E+000, +0.00000000000E+000
+5.67625000000E+007, -3.41353947125E+000, +0.00000000000E+000
+5.75687500000E+007, -3.41941827510E+000, +0.00000000000E+000
+5.83750000000E+007, -3.42521243029E+000, +0.00000000000E+000
+5.91812500000E+007, -3.43107038998E+000, +0.00000000000E+000
+5.99875000000E+007, -3.43687655092E+000, +0.00000000000E+000
+6.07937500000E+007, -3.44265077339E+000, +0.00000000000E+000
+6.16000000000E+007, -3.44836911481E+000, +0.00000000000E+000
+6.24062500000E+007, -3.45411385738E+000, +0.00000000000E+000
+6.32125000000E+007, -3.45975716852E+000, +0.00000000000E+000
+6.40187500000E+007, -3.46545719319E+000, +0.00000000000E+000
+6.48250000000E+007, -3.47113045670E+000, +0.00000000000E+000
+6.56312500000E+007, -3.47678165889E+000, +0.00000000000E+000
+6.64375000000E+007, -3.48236062791E+000, +0.00000000000E+000
+6.72437500000E+007, -3.48787934096E+000, +0.00000000000E+000
+6.80500000000E+007, -3.49337253862E+000, +0.00000000000E+000
+6.88562500000E+007, -3.49883040181E+000, +0.00000000000E+000
+6.96625000000E+007, -3.50433043639E+000, +0.00000000000E+000
+7.04687500000E+007, -3.50981281903E+000, +0.00000000000E+000
+7.12750000000E+007, -3.51528260122E+000, +0.00000000000E+000
+7.20812500000E+007, -3.52075020648E+000, +0.00000000000E+000
+7.28875000000E+007, -3.52613123295E+000, +0.00000000000E+000
+7.36937500000E+007, -3.53150836121E+000, +0.00000000000E+000
+7.45000000000E+007, -3.53690437519E+000, +0.00000000000E+000
+7.53062500000E+007, -3.54232065856E+000, +0.00000000000E+000
+7.61125000000E+007, -3.54763940426E+000, +0.00000000000E+000
+7.69187500000E+007, -3.55298925193E+000, +0.00000000000E+000
+7.77250000000E+007, -3.55833969805E+000, +0.00000000000E+000
+7.85312500000E+007, -3.56380545123E+000, +0.00000000000E+000
+7.93375000000E+007, -3.56916659094E+000, +0.00000000000E+000
+8.01437500000E+007, -3.57449346867E+000, +0.00000000000E+000
+8.09500000000E+007, -3.57984661795E+000, +0.00000000000E+000
+8.17562500000E+007, -3.58513763092E+000, +0.00000000000E+000
+8.25625000000E+007, -3.59044634383E+000, +0.00000000000E+000
+8.33687500000E+007, -3.59581358971E+000, +0.00000000000E+000
+8.41750000000E+007, -3.60118886285E+000, +0.00000000000E+000
+8.49812500000E+007, -3.60657212717E+000, +0.00000000000E+000
+8.57875000000E+007, -3.61198526799E+000, +0.00000000000E+000
+8.65937500000E+007, -3.61738077047E+000, +0.00000000000E+000
+8.74000000000E+007, -3.62279234508E+000, +0.00000000000E+000
+8.82062500000E+007, -3.62823357354E+000, +0.00000000000E+000
+8.90125000000E+007, -3.63370823482E+000, +0.00000000000E+000
