"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -9.05194375496E+000, +0.00000000000E+000
+1.08062500000E+007, -9.05946661430E+000, +0.00000000000E+000
+1.16125000000E+007, -9.06682016119E+000, +0.00000000000E+000
+1.24187500000E+007, -9.07349066890E+000, +0.00000000000E+000
+1.32250000000E+007, -9.08061952452E+000, +0.00000000000E+000
+1.40312500000E+007, -9.08784846083E+000, +0.00000000000E+000
+1.48375000000E+007, -9.09474879221E+000, +0.00000000000E+000
+1.56437500000E+007, -9.10164887902E+000, +0.00000000000E+000
+1.64500000000E+007, -9.10849868193E+000, +0.00000000000E+000
+1.72562500000E+007, -9.11524781886E+000, +0.00000000000E+000
+1.80625000000E+007, -9.12178845152E+000, +0.00000000000E+000
+1.88687500000E+007, -9.12839006528E+000, +0.00000000000E+000
+1.96750000000E+007, -9.13480074069E+000, +0.00000000000E+000
+2.04812500000E+007, -9.14136388766E+000, +0.00000000000E+000
+2.12875000000E+007, -9.14789522574E+000, +0.00000000000E+000
+2.20937500000E+007, -9.15437930321E+000, +0.00000000000E+000
+2.29000000000E+007, -9.16076490324E+000, +0.00000000000E+000
+2.37062500000E+007, -9.16711827049E+000, +0.00000000000E+000
+2.45125000000E+007, -9.17345828735E+000, +0.00000000000E+000
+2.53187500000E+007, -9.17976220478E+000, +0.00000000000E+000
+2.61250000000E+007, -9.18599946536E+000, +0.00000000000E+000
+2.69312500000E+007, -9.19200743494E+000, +0.00000000000E+000
+2.77375000000E+007, -9.19790942917E+000, +0.00000000000E+000
+2.85437500000E+007, -9.20389899304E+000, +0.00000000000E+000
+2.93500000000E+007, -9.20976526111E+000, +0.00000000000E+000
+3.01562500000E+007, -9.21560940320E+000, +0.00000000000E+000
+3.09625000000E+007, -9.22141995131E+000, +0.00000000000E+000
+3.17687500000E+007, -9.22711525485E+000, +0.00000000000E+000
+3.25750000000E+007, -9.23270377751E+000, +0.00000000000E+000
+3.33812500000E+007, -9.23834907040E+000, +0.00000000000E+000
+3.41875000000E+007, -9.24403602324E+000, +0.00000000000E+000
+3.49937500000E+007, -9.24947318298E+000, +0.00000000000E+000
+3.58000000000E+007, -9.25494671784E+000, +0.00000000000E+000
+3.66062500000E+007, -9.26027914179E+000, +0.00000000000E+000
+3.74125000000E+007, -9.26558501333E+000, +0.00000000000E+000
+3.82187500000E+007, -9.27094804956E+000, +0.00000000000E+000
+3.90250000000E+007, -9.27626428959E+000, +0.00000000000E+000
+3.98312500000E+007, -9.28159574794E+000, +0.00000000000E+000
+4.06375000000E+007, -9.28693289587E+000, +0.00000000000E+000
+4.14437500000E+007, -9.29216859312E+000, +0.00000000000E+000
+4.22500000000E+007, -9.29733693345E+000, +0.00000000000E+000
+4.30562500000E+007, -9.30248690230E+000, +0.00000000000E+000
+4.38625000000E+007, -9.30767053867E+000, +0.00000000000E+000
+4.46687500000E+007, -9.31269333460E+000, +0.00000000000E+000
+4.54750000000E+007, -9.31773845862E+000, +0.00000000000E+000
+4.62812500000E+007, -9.32278622675E+000, +0.00000000000E+000
+4.70875000000E+007, -9.32802852355E+000, +0.00000000000E+000
+4.78937500000E+007, -9.33318445170E+000, +0.00000000000E+000
+4.87000000000E+007, -9.33811761894E+000, +0.00000000000E+000
+4.95062500000E+007, -9.34318295861E+000, +0.00000000000E+000
+5.03125000000E+007, -9.34820277556E+000, +0.00000000000E+000
+5.11187500000E+007, -9.35319121895E+000, +0.00000000000E+000
+5.19250000000E+007, -9.35810471271E+000, +0.00000000000E+000
+5.27312500000E+007, -9.36296982441E+000, +0.00000000000E+000
+5.35375000000E+007, -9.36773282780E+000, +0.00000000000E+000
+5.43437500000E+007, -9.37246191485E+000, +0.00000000000E+000
+5.51500000000E+007, -9.37722299134E+000, +0.00000000000E+000
+5.59562500000E+007, -9.38199211753E+000, +0.00000000000E+000
+5.67625000000E+007, -9.38685563907E+000, +0.00000000000E+000
+5.75687500000E+007, -9.39152507490E+000, +0.00000000000E+000
+5.83750000000E+007, -9.39613750465E+000, +0.00000000000E+000
+5.91812500000E+007, -9.40066186309E+000, +0.00000000000E+000
+5.99875000000E+007, -9.40524106669E+000, +0.00000000000E+000
+6.07937500000E+007, -9.40974656111E+000, +0.00000000000E+000
+6.16000000000E+007, -9.41411816738E+000, +0.00000000000E+000
+6.24062500000E+007, -9.41855309148E+000, +0.00000000000E+000
+6.32125000000E+007, -9.42291491534E+000, +0.00000000000E+000
+6.40187500000E+007, -9.42710280309E+000, +0.00000000000E+000
+6.48250000000E+007, -9.43146503682E+000, +0.00000000000E+000
+6.56312500000E+007, -9.43566674069E+000, +0.00000000000E+000
+6.64375000000E+007, -9.43986959646E+000, +0.00000000000E+000
+6.72437500000E+007, -9.44382715043E+000, +0.00000000000E+000
+6.80500000000E+007, -9.44781507189E+000, +0.00000000000E+000
+6.88562500000E+007, -9.45188452156E+000, +0.00000000000E+000
+6.96625000000E+007, -9.45579125482E+000, +0.00000000000E+000
+7.04687500000E+007, -9.45973350426E+000, +0.00000000000E+000
+7.12750000000E+007, -9.46366902524E+000, +0.00000000000E+000
+7.20812500000E+007, -9.46752503445E+000, +0.00000000000E+000
+7.28875000000E+007, -9.47138557390E+000, +0.00000000000E+000
+7.36937500000E+007, -9.47523796712E+000, +0.00000000000E+000
+7.45000000000E+007, -9.47898381883E+000, +0.00000000000E+000
+7.53062500000E+007, -9.48288074138E+000, +0.00000000000E+000
+7.61125000000E+007, -9.48661096981E+000, +0.00000000000E+000
+7.69187500000E+007, -9.49028381153E+000, +0.00000000000E+000
+7.77250000000E+007, -9.49389594720E+000, +0.00000000000E+000
+7.85312500000E+007, -9.49754242605E+000, +0.00000000000E+000
+7.93375000000E+007, -9.50120602344E+000, +0.00000000000E+000
+8.01437500000E+007, -9.50474008063E+000, +0.00000000000E+000
+8.09500000000E+007, -9.50830410871E+000, +0.00000000000E+000
+8.17562500000E+007, -9.51195192985E+000, +0.00000000000E+000
+8.25625000000E+007, -9.51563637479E+000, +0.00000000000E+000
+8.33687500000E+007, -9.51922425377E+000, +0.00000000000E+000
+8.41750000000E+007, -9.52284476783E+000, +0.00000000000E+000
+8.49812500000E+007, -9.52634785582E+000, +0.00000000000E+000
+8.57875000000E+007, -9.53002716505E+000, +0.00000000000E+000
+8.65937500000E+007, -9.53365557850E+000, +0.00000000000E+000
+8.74000000000E+007, -9.53727672180E+000, +0.00000000000E+000
+8.82062500000E+007, -9.54082905770E+000, +0.00000000000E+000
+8.90125000000E+007, -9.54440899169E+000, +0.00000000000E+000
+8.98187500000E+007, -9.54804837807E+000, +0.00000000000E+000
+9.06250000000E+007, -9.55154358741E+000, +0.00000000000E+000
+9.14312500000E+007, -9.55508259966E+000, +0.00000000000E+000
+9.22375000000E+007, -9.55871838240E+000, +0.00000000000E+000
+9.30437500000E+007, -9.56237692240E+000, +0.00000000000E+000
+9.38500000000E+007, -9.56609824431E+000, +0.00000000000E+000
+9.46562500000E+007, -9.56985597258E+000, +0.00000000000E+000
+9.54625000000E+007, -9.57349753064E+000, +0.00000000000E+000
+9.62687500000E+007, -9.57738511171E+000, +0.00000000000E+000
+9.70750000000E+007, -9.58127675716E+000, +0.00000000000E+000
+9.78812500000E+007, -9.58539832091E+000, +0.00000000000E+000
+9.86875000000E+007, -9.58940885965E+000, +0.00000000000E+000
+9.94937500000E+007, -9.59350702667E+000, +0.00000000000E+000
+1.00300000000E+008, -9.59761727302E+000, +0.00000000000E+000
+1.01106250000E+008, -9.60179104525E+000, +0.00000000000E+000
+1.01912500000E+008, -9.60605370015E+000, +0.00000000000E+000
+1.02718750000E+008, -9.61026966319E+000, +0.00000000000E+000
+1.03525000000E+008, -9.61470490076E+000, +0.00000000000E+000
+1.04331250000E+008, -9.61915485217E+000, +0.00000000000E+000
+1.05137500000E+008, -9.62360656365E+000, +0.00000000000E+000
+1.05943750000E+008, -9.62811529009E+000, +0.00000000000E+000
+1.06750000000E+008, -9.63258565789E+000, +0.00000000000E+000
+1.07556250000E+008, -9.63717688988E+000, +0.00000000000E+000
+1.08362500000E+008, -9.64192684704E+000, +0.00000000000E+000
+1.09168750000E+008, -9.64671242387E+000, +0.00000000000E+000
+1.09975000000E+008, -9.65155034164E+000, +0.00000000000E+000
+1.10781250000E+008, -9.65645350342E+000, +0.00000000000E+000
+1.11587500000E+008, -9.66133399743E+000, +0.00000000000E+000
+1.12393750000E+008, -9.66625621731E+000, +0.00000000000E+000
+1.13200000000E+008, -9.67123189233E+000, +0.00000000000E+000
+1.14006250000E+008, -9.67627929447E+000, +0.00000000000E+000
+1.14812500000E+008, -9.68134068041E+000, +0.00000000000E+000
+1.15618750000E+008, -9.68640691833E+000, +0.00000000000E+000
+1.16425000000E+008, -9.69145480621E+000, +0.00000000000E+000
+1.17231250000E+008, -9.69662979889E+000, +0.00000000000E+000
+1.18037500000E+008, -9.70161438319E+000, +0.00000000000E+000
