"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -3.03732402831E+000, +0.00000000000E+000
+1.08062500000E+007, -3.04372625651E+000, +0.00000000000E+000
+1.16125000000E+007, -3.05133578003E+000, +0.00000000000E+000
+1.24187500000E+007, -3.05870029854E+000, +0.00000000000E+000
+1.32250000000E+007, -3.06645744286E+000, +0.00000000000E+000
+1.40312500000E+007, -3.07402223399E+000, +0.00000000000E+000
+1.48375000000E+007, -3.08138303503E+000, +0.00000000000E+000
+1.56437500000E+007, -3.08884339957E+000, +0.00000000000E+000
+1.64500000000E+007, -3.09632803306E+000, +0.00000000000E+000
+1.72562500000E+007, -3.10375697468E+000, +0.00000000000E+000
+1.80625000000E+007, -3.11104646772E+000, +0.00000000000E+000
+1.88687500000E+007, -3.11823993699E+000, +0.00000000000E+000
+1.96750000000E+007, -3.12524029879E+000, +0.00000000000E+000
+2.04812500000E+007, -3.13241772736E+000, +0.00000000000E+000
+2.12875000000E+007, -3.13960375744E+000, +0.00000000000E+000
+2.20937500000E+007, -3.14683575621E+000, +0.00000000000E+000
+2.29000000000E+007, -3.15396693518E+000, +0.00000000000E+000
+2.37062500000E+007, -3.16105545836E+000, +0.00000000000E+000
+2.45125000000E+007, -3.16815075335E+000, +0.00000000000E+000
+2.53187500000E+007, -3.17510494722E+000, +0.00000000000E+000
+2.61250000000E+007, -3.18196527177E+000, +0.00000000000E+000
+2.69312500000E+007, -3.18880186669E+000, +0.00000000000E+000
+2.77375000000E+007, -3.19564449660E+000, +0.00000000000E+000
+2.85437500000E+007, -3.20243343664E+000, +0.00000000000E+000
+2.93500000000E+007, -3.20929082771E+000, +0.00000000000E+000
+3.01562500000E+007, -3.21608837427E+000, +0.00000000000E+000
+3.09625000000E+007, -3.22283991034E+000, +0.00000000000E+000
+3.17687500000E+007, -3.22958861134E+000, +0.00000000000E+000
+3.25750000000E+007, -3.23620204031E+000, +0.00000000000E+000
+3.33812500000E+007, -3.24277339118E+000, +0.00000000000E+000
+3.41875000000E+007, -3.24935719500E+000, +0.00000000000E+000
+3.49937500000E+007, -3.25582779517E+000, +0.00000000000E+000
+3.58000000000E+007, -3.26233456337E+000, +0.00000000000E+000
+3.66062500000E+007, -3.26886223246E+000, +0.00000000000E+000
+3.74125000000E+007, -3.27536747507E+000, +0.00000000000E+000
+3.82187500000E+007, -3.28184573935E+000, +0.00000000000E+000
+3.90250000000E+007, -3.28838799051E+000, +0.00000000000E+000
+3.98312500000E+007, -3.29497762734E+000, +0.00000000000E+000
+4.06375000000E+007, -3.30149423653E+000, +0.00000000000E+000
+4.14437500000E+007, -3.30800058846E+000, +0.00000000000E+000
+4.22500000000E+007, -3.31450983508E+000, +0.00000000000E+000
+4.30562500000E+007, -3.32101569967E+000, +0.00000000000E+000
+4.38625000000E+007, -3.32750375656E+000, +0.00000000000E+000
+4.46687500000E+007, -3.33398833617E+000, +0.00000000000E+000
+4.54750000000E+007, -3.34054646031E+000, +0.00000000000E+000
+4.62812500000E+007, -3.34708441526E+000, +0.00000000000E+000
+4.70875000000E+007, -3.35370189046E+000, +0.00000000000E+000
+4.78937500000E+007, -3.36020954154E+000, +0.00000000000E+000
