"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -3.03259920573E+000, +0.00000000000E+000
+1.08062500000E+007, -3.03954025246E+000, +0.00000000000E+000
+1.16125000000E+007, -3.04665518271E+000, +0.00000000000E+000
+1.24187500000E+007, -3.05383466398E+000, +0.00000000000E+000
+1.32250000000E+007, -3.06103221488E+000, +0.00000000000E+000
+1.40312500000E+007, -3.06817202677E+000, +0.00000000000E+000
+1.48375000000E+007, -3.07524953000E+000, +0.00000000000E+000
+1.56437500000E+007, -3.08212843684E+000, +0.00000000000E+000
+1.64500000000E+007, -3.08891930726E+000, +0.00000000000E+000
+1.72562500000E+007, -3.09567100812E+000, +0.00000000000E+000
+1.80625000000E+007, -3.10236348886E+000, +0.00000000000E+000
+1.88687500000E+007, -3.10889302036E+000, +0.00000000000E+000
+1.96750000000E+007, -3.11530187678E+000, +0.00000000000E+000
+2.04812500000E+007, -3.12192542141E+000, +0.00000000000E+000
+2.12875000000E+007, -3.12847160873E+000, +0.00000000000E+000
+2.20937500000E+007, -3.13497338105E+000, +0.00000000000E+000
+2.29000000000E+007, -3.14138633259E+000, +0.00000000000E+000
+2.37062500000E+007, -3.14779691720E+000, +0.00000000000E+000
+2.45125000000E+007, -3.15408684457E+000, +0.00000000000E+000
+2.53187500000E+007, -3.16031333221E+000, +0.00000000000E+000
+2.61250000000E+007, -3.16647432461E+000, +0.00000000000E+000
+2.69312500000E+007, -3.17258652452E+000, +0.00000000000E+000
+2.77375000000E+007, -3.17856386035E+000, +0.00000000000E+000
+2.85437500000E+007, -3.18454316103E+000, +0.00000000000E+000
+2.93500000000E+007, -3.19040762646E+000, +0.00000000000E+000
+3.01562500000E+007, -3.19624944099E+000, +0.00000000000E+000
+3.09625000000E+007, -3.20204434617E+000, +0.00000000000E+000
+3.17687500000E+007, -3.20773675973E+000, +0.00000000000E+000
+3.25750000000E+007, -3.21336973980E+000, +0.00000000000E+000
+3.33812500000E+007, -3.21900636420E+000, +0.00000000000E+000
+3.41875000000E+007, -3.22456640838E+000, +0.00000000000E+000
+3.49937500000E+007, -3.22999844572E+000, +0.00000000000E+000
+3.58000000000E+007, -3.23543700866E+000, +0.00000000000E+000
+3.66062500000E+007, -3.24084063342E+000, +0.00000000000E+000
+3.74125000000E+007, -3.24618988106E+000, +0.00000000000E+000
+3.82187500000E+007, -3.25150465927E+000, +0.00000000000E+000
+3.90250000000E+007, -3.25679557324E+000, +0.00000000000E+000
+3.98312500000E+007, -3.26212146960E+000, +0.00000000000E+000
+4.06375000000E+007, -3.26737353951E+000, +0.00000000000E+000
+4.14437500000E+007, -3.27262728320E+000, +0.00000000000E+000
+4.22500000000E+007, -3.27786034034E+000, +0.00000000000E+000
+4.30562500000E+007, -3.28309695780E+000, +0.00000000000E+000
+4.38625000000E+007, -3.28821802459E+000, +0.00000000000E+000
+4.46687500000E+007, -3.29332556643E+000, +0.00000000000E+000
+4.54750000000E+007, -3.29846251014E+000, +0.00000000000E+000
+4.62812500000E+007, -3.30353897191E+000, +0.00000000000E+000
+4.70875000000E+007, -3.30860761075E+000, +0.00000000000E+000
+4.78937500000E+007, -3.31363920916E+000, +0.00000000000E+000
+4.87000000000E+007, -3.31864200974E+000, +0.00000000000E+000
+4.95062500000E+007, -3.32364749948E+000, +0.00000000000E+000
+5.03125000000E+007, -3.32857688395E+000, +0.00000000000E+000
+5.11187500000E+007, -3.33351233565E+000, +0.00000000000E+000
+5.19250000000E+007, -3.33841467358E+000, +0.00000000000E+000
+5.27312500000E+007, -3.34334470195E+000, +0.00000000000E+000
+5.35375000000E+007, -3.34817653580E+000, +0.00000000000E+000
+5.43437500000E+007, -3.35296105781E+000, +0.00000000000E+000
+5.51500000000E+007, -3.35775559223E+000, +0.00000000000E+000
+5.59562500000E+007, -3.36247736196E+000, +0.00000000000E+000
+5.67625000000E+007, -3.36714391389E+000, +0.00000000000E+000
+5.75687500000E+007, -3.37182894626E+000, +0.00000000000E+000
+5.83750000000E+007, -3.37645638378E+000, +0.00000000000E+000
+5.91812500000E+007, -3.38097605730E+000, +0.00000000000E+000
+5.99875000000E+007, -3.38547008415E+000, +0.00000000000E+000
+6.07937500000E+007, -3.38990477121E+000, +0.00000000000E+000
+6.16000000000E+007, -3.39430492021E+000, +0.00000000000E+000
+6.24062500000E+007, -3.39867553795E+000, +0.00000000000E+000
+6.32125000000E+007, -3.40299926544E+000, +0.00000000000E+000
+6.40187500000E+007, -3.40728444122E+000, +0.00000000000E+000
+6.48250000000E+007, -3.41157956760E+000, +0.00000000000E+000
+6.56312500000E+007, -3.41578796024E+000, +0.00000000000E+000
+6.64375000000E+007, -3.41997681098E+000, +0.00000000000E+000
+6.72437500000E+007, -3.42407133439E+000, +0.00000000000E+000
+6.80500000000E+007, -3.42820214801E+000, +0.00000000000E+000
+6.88562500000E+007, -3.43224545486E+000, +0.00000000000E+000
+6.96625000000E+007, -3.43622169998E+000, +0.00000000000E+000
+7.04687500000E+007, -3.44016309125E+000, +0.00000000000E+000
+7.12750000000E+007, -3.44404544893E+000, +0.00000000000E+000
+7.20812500000E+007, -3.44791743145E+000, +0.00000000000E+000
+7.28875000000E+007, -3.45171612140E+000, +0.00000000000E+000
+7.36937500000E+007, -3.45552653197E+000, +0.00000000000E+000
+7.45000000000E+007, -3.45929805564E+000, +0.00000000000E+000
+7.53062500000E+007, -3.46309008672E+000, +0.00000000000E+000
+7.61125000000E+007, -3.46683788199E+000, +0.00000000000E+000
+7.69187500000E+007, -3.47054109865E+000, +0.00000000000E+000
+7.77250000000E+007, -3.47422677476E+000, +0.00000000000E+000
+7.85312500000E+007, -3.47789244525E+000, +0.00000000000E+000
+7.93375000000E+007, -3.48159033874E+000, +0.00000000000E+000
+8.01437500000E+007, -3.48521896712E+000, +0.00000000000E+000
+8.09500000000E+007, -3.48883206470E+000, +0.00000000000E+000
+8.17562500000E+007, -3.49244426620E+000, +0.00000000000E+000
+8.25625000000E+007, -3.49601633957E+000, +0.00000000000E+000
+8.33687500000E+007, -3.49955896562E+000, +0.00000000000E+000
+8.41750000000E+007, -3.50314462920E+000, +0.00000000000E+000
+8.49812500000E+007, -3.50665986308E+000, +0.00000000000E+000
+8.57875000000E+007, -3.51021394047E+000, +0.00000000000E+000
+8.65937500000E+007, -3.51373661852E+000, +0.00000000000E+000
+8.74000000000E+007, -3.51728009133E+000, +0.00000000000E+000
+8.82062500000E+007, -3.52080986798E+000, +0.00000000000E+000
