"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.69558641036E+000, +0.00000000000E+000
+1.93687500000E+006, -9.38420575941E+000, +0.00000000000E+000
+2.87375000000E+006, -9.26441693701E+000, +0.00000000000E+000
+3.81062500000E+006, -9.20176127168E+000, +0.00000000000E+000
+4.74750000000E+006, -9.16651497332E+000, +0.00000000000E+000
+5.68437500000E+006, -9.14528051993E+000, +0.00000000000E+000
+6.62125000000E+006, -9.13270749917E+000, +0.00000000000E+000
+7.55812500000E+006, -9.12544155138E+000, +0.00000000000E+000
+8.49500000000E+006, -9.12182456904E+000, +0.00000000000E+000
+9.43187500000E+006, -9.12084857017E+000, +0.00000000000E+000
+1.03687500000E+007, -9.12162927365E+000, +0.00000000000E+000
+1.13056250000E+007, -9.12349949559E+000, +0.00000000000E+000
+1.22425000000E+007, -9.12634238706E+000, +0.00000000000E+000
+1.31793750000E+007, -9.10525422871E+000, +0.00000000000E+000
+1.41162500000E+007, -9.10064970565E+000, +0.00000000000E+000
+1.50531250000E+007, -9.10127947096E+000, +0.00000000000E+000
+1.59900000000E+007, -9.10449568600E+000, +0.00000000000E+000
+1.69268750000E+007, -9.10985889543E+000, +0.00000000000E+000
+1.78637500000E+007, -9.11605981269E+000, +0.00000000000E+000
+1.88006250000E+007, -9.12274223364E+000, +0.00000000000E+000
+1.97375000000E+007, -9.12965123339E+000, +0.00000000000E+000
+2.06743750000E+007, -9.13685725119E+000, +0.00000000000E+000
+2.16112500000E+007, -9.14404579766E+000, +0.00000000000E+000
+2.25481250000E+007, -9.15138892849E+000, +0.00000000000E+000
+2.34850000000E+007, -9.15862935001E+000, +0.00000000000E+000
+2.44218750000E+007, -9.16586961460E+000, +0.00000000000E+000
+2.53587500000E+007, -9.17304942278E+000, +0.00000000000E+000
+2.62956250000E+007, -9.18017279298E+000, +0.00000000000E+000
+2.72325000000E+007, -9.18718501730E+000, +0.00000000000E+000
+2.81693750000E+007, -9.19415343767E+000, +0.00000000000E+000
+2.91062500000E+007, -9.20101315527E+000, +0.00000000000E+000
+3.00431250000E+007, -9.20764991317E+000, +0.00000000000E+000
+3.09800000000E+007, -9.21424674154E+000, +0.00000000000E+000
+3.19168750000E+007, -9.22088935304E+000, +0.00000000000E+000
+3.28537500000E+007, -9.22736119506E+000, +0.00000000000E+000
+3.37906250000E+007, -9.23377735754E+000, +0.00000000000E+000
+3.47275000000E+007, -9.24011769454E+000, +0.00000000000E+000
+3.56643750000E+007, -9.24637038396E+000, +0.00000000000E+000
+3.66012500000E+007, -9.25262978692E+000, +0.00000000000E+000
+3.75381250000E+007, -9.25882767554E+000, +0.00000000000E+000
+3.84750000000E+007, -9.26494911168E+000, +0.00000000000E+000
+3.94118750000E+007, -9.27116504959E+000, +0.00000000000E+000
+4.03487500000E+007, -9.27720234702E+000, +0.00000000000E+000
+4.12856250000E+007, -9.28328786040E+000, +0.00000000000E+000
+4.22225000000E+007, -9.28933733889E+000, +0.00000000000E+000
+4.31593750000E+007, -9.29525589930E+000, +0.00000000000E+000
+4.40962500000E+007, -9.30116592177E+000, +0.00000000000E+000
+4.50331250000E+007, -9.30717639433E+000, +0.00000000000E+000
+4.59700000000E+007, -9.31303106293E+000, +0.00000000000E+000
+4.69068750000E+007, -9.31884008458E+000, +0.00000000000E+000
+4.78437500000E+007, -9.32455397486E+000, +0.00000000000E+000
+4.87806250000E+007, -9.33027452781E+000, +0.00000000000E+000
+4.97175000000E+007, -9.33594958709E+000, +0.00000000000E+000
+5.06543750000E+007, -9.34159496765E+000, +0.00000000000E+000
+5.15912500000E+007, -9.34717596202E+000, +0.00000000000E+000
+5.25281250000E+007, -9.35272439686E+000, +0.00000000000E+000
+5.34650000000E+007, -9.35827222658E+000, +0.00000000000E+000
+5.44018750000E+007, -9.36371628818E+000, +0.00000000000E+000
+5.53387500000E+007, -9.36901430773E+000, +0.00000000000E+000
+5.62756250000E+007, -9.37442870342E+000, +0.00000000000E+000
+5.72125000000E+007, -9.37978914911E+000, +0.00000000000E+000
+5.81493750000E+007, -9.38498577413E+000, +0.00000000000E+000
+5.90862500000E+007, -9.39025431171E+000, +0.00000000000E+000
+6.00231250000E+007, -9.39540952973E+000, +0.00000000000E+000
+6.09600000000E+007, -9.40061563068E+000, +0.00000000000E+000
+6.18968750000E+007, -9.40571620005E+000, +0.00000000000E+000
+6.28337500000E+007, -9.41080111745E+000, +0.00000000000E+000
+6.37706250000E+007, -9.41579787290E+000, +0.00000000000E+000
+6.47075000000E+007, -9.42065389634E+000, +0.00000000000E+000
+6.56443750000E+007, -9.42536933261E+000, +0.00000000000E+000
+6.65812500000E+007, -9.43021436570E+000, +0.00000000000E+000
+6.75181250000E+007, -9.43491520999E+000, +0.00000000000E+000
+6.84550000000E+007, -9.43954773128E+000, +0.00000000000E+000
+6.93918750000E+007, -9.44414399219E+000, +0.00000000000E+000
+7.03287500000E+007, -9.44873740253E+000, +0.00000000000E+000
+7.12656250000E+007, -9.45331426563E+000, +0.00000000000E+000
+7.22025000000E+007, -9.45780206223E+000, +0.00000000000E+000
