"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.69795363316E+000, +0.00000000000E+000
+1.93687500000E+006, -9.38600982185E+000, +0.00000000000E+000
+2.87375000000E+006, -9.26567133747E+000, +0.00000000000E+000
+3.81062500000E+006, -9.20282694405E+000, +0.00000000000E+000
+4.74750000000E+006, -9.16785921648E+000, +0.00000000000E+000
+5.68437500000E+006, -9.14649065606E+000, +0.00000000000E+000
+6.62125000000E+006, -9.13385506749E+000, +0.00000000000E+000
+7.55812500000E+006, -9.12681593914E+000, +0.00000000000E+000
+8.49500000000E+006, -9.12332477715E+000, +0.00000000000E+000
+9.43187500000E+006, -9.12233529381E+000, +0.00000000000E+000
+1.03687500000E+007, -9.12300828243E+000, +0.00000000000E+000
+1.13056250000E+007, -9.12490939444E+000, +0.00000000000E+000
+1.22425000000E+007, -9.12772185164E+000, +0.00000000000E+000
+1.31793750000E+007, -9.10666229814E+000, +0.00000000000E+000
+1.41162500000E+007, -9.10212442230E+000, +0.00000000000E+000
+1.50531250000E+007, -9.10279873066E+000, +0.00000000000E+000
+1.59900000000E+007, -9.10625775094E+000, +0.00000000000E+000
+1.69268750000E+007, -9.11165208978E+000, +0.00000000000E+000
+1.78637500000E+007, -9.11797541734E+000, +0.00000000000E+000
+1.88006250000E+007, -9.12467898471E+000, +0.00000000000E+000
+1.97375000000E+007, -9.13160086959E+000, +0.00000000000E+000
+2.06743750000E+007, -9.13875853601E+000, +0.00000000000E+000
+2.16112500000E+007, -9.14611889839E+000, +0.00000000000E+000
+2.25481250000E+007, -9.15346185812E+000, +0.00000000000E+000
+2.34850000000E+007, -9.16079540979E+000, +0.00000000000E+000
+2.44218750000E+007, -9.16805841399E+000, +0.00000000000E+000
+2.53587500000E+007, -9.17526153571E+000, +0.00000000000E+000
+2.62956250000E+007, -9.18236907299E+000, +0.00000000000E+000
+2.72325000000E+007, -9.18939986660E+000, +0.00000000000E+000
+2.81693750000E+007, -9.19634446460E+000, +0.00000000000E+000
+2.91062500000E+007, -9.20318385690E+000, +0.00000000000E+000
+3.00431250000E+007, -9.20992859735E+000, +0.00000000000E+000
+3.09800000000E+007, -9.21658637029E+000, +0.00000000000E+000
+3.19168750000E+007, -9.22316568616E+000, +0.00000000000E+000
+3.28537500000E+007, -9.22973761266E+000, +0.00000000000E+000
+3.37906250000E+007, -9.23616209097E+000, +0.00000000000E+000
+3.47275000000E+007, -9.24248653532E+000, +0.00000000000E+000
+3.56643750000E+007, -9.24881110930E+000, +0.00000000000E+000
+3.66012500000E+007, -9.25498327398E+000, +0.00000000000E+000
+3.75381250000E+007, -9.26116577348E+000, +0.00000000000E+000
+3.84750000000E+007, -9.26735225409E+000, +0.00000000000E+000
+3.94118750000E+007, -9.27342010247E+000, +0.00000000000E+000
+4.03487500000E+007, -9.27946784473E+000, +0.00000000000E+000
+4.12856250000E+007, -9.28554386627E+000, +0.00000000000E+000
+4.22225000000E+007, -9.29152326926E+000, +0.00000000000E+000
+4.31593750000E+007, -9.29749170688E+000, +0.00000000000E+000
+4.40962500000E+007, -9.30341386383E+000, +0.00000000000E+000
+4.50331250000E+007, -9.30931449334E+000, +0.00000000000E+000
+4.59700000000E+007, -9.31518847712E+000, +0.00000000000E+000
+4.69068750000E+007, -9.32099517154E+000, +0.00000000000E+000
+4.78437500000E+007, -9.32676953412E+000, +0.00000000000E+000
+4.87806250000E+007, -9.33243284785E+000, +0.00000000000E+000
+4.97175000000E+007, -9.33807924450E+000, +0.00000000000E+000
+5.06543750000E+007, -9.34370149828E+000, +0.00000000000E+000
+5.15912500000E+007, -9.34927649333E+000, +0.00000000000E+000
+5.25281250000E+007, -9.35479666127E+000, +0.00000000000E+000
+5.34650000000E+007, -9.36026640435E+000, +0.00000000000E+000
+5.44018750000E+007, -9.36573867306E+000, +0.00000000000E+000
+5.53387500000E+007, -9.37120066000E+000, +0.00000000000E+000
+5.62756250000E+007, -9.37652711664E+000, +0.00000000000E+000
+5.72125000000E+007, -9.38187228785E+000, +0.00000000000E+000
+5.81493750000E+007, -9.38720519149E+000, +0.00000000000E+000
+5.90862500000E+007, -9.39241822630E+000, +0.00000000000E+000
+6.00231250000E+007, -9.39764858730E+000, +0.00000000000E+000
+6.09600000000E+007, -9.40279834234E+000, +0.00000000000E+000
+6.18968750000E+007, -9.40783135762E+000, +0.00000000000E+000
+6.28337500000E+007, -9.41289333205E+000, +0.00000000000E+000
+6.37706250000E+007, -9.41786439911E+000, +0.00000000000E+000
+6.47075000000E+007, -9.42273170734E+000, +0.00000000000E+000
+6.56443750000E+007, -9.42756746554E+000, +0.00000000000E+000
+6.65812500000E+007, -9.43237429158E+000, +0.00000000000E+000
+6.75181250000E+007, -9.43714649005E+000, +0.00000000000E+000
+6.84550000000E+007, -9.44180992637E+000, +0.00000000000E+000
+6.93918750000E+007, -9.44645729951E+000, +0.00000000000E+000
+7.03287500000E+007, -9.45106262320E+000, +0.00000000000E+000
+7.12656250000E+007, -9.45559806279E+000, +0.00000000000E+000
+7.22025000000E+007, -9.46017816241E+000, +0.00000000000E+000
+7.31393750000E+007, -9.46464254212E+000, +0.00000000000E+000
+7.40762500000E+007, -9.46907158677E+000, +0.00000000000E+000
+7.50131250000E+007, -9.47345726095E+000, +0.00000000000E+000
+7.59500000000E+007, -9.47786366044E+000, +0.00000000000E+000
+7.68868750000E+007, -9.48222928665E+000, +0.00000000000E+000
+7.78237500000E+007, -9.48654219002E+000, +0.00000000000E+000
+7.87606250000E+007, -9.49084853061E+000, +0.00000000000E+000
+7.96975000000E+007, -9.49514018784E+000, +0.00000000000E+000
+8.06343750000E+007, -9.49942777746E+000, +0.00000000000E+000
+8.15712500000E+007, -9.50364873098E+000, +0.00000000000E+000
+8.25081250000E+007, -9.50790111290E+000, +0.00000000000E+000
+8.34450000000E+007, -9.51211346900E+000, +0.00000000000E+000
+8.43818750000E+007, -9.51631169343E+000, +0.00000000000E+000
+8.53187500000E+007, -9.52055453610E+000, +0.00000000000E+000
+8.62556250000E+007, -9.52477100456E+000, +0.00000000000E+000
+8.71925000000E+007, -9.52894210844E+000, +0.00000000000E+000
+8.81293750000E+007, -9.53315800889E+000, +0.00000000000E+000
+8.90662500000E+007, -9.53740942629E+000, +0.00000000000E+000
+9.00031250000E+007, -9.54166681525E+000, +0.00000000000E+000
+9.09400000000E+007, -9.54592662213E+000, +0.00000000000E+000
+9.18768750000E+007, -9.55025295185E+000, +0.00000000000E+000
+9.28137500000E+007, -9.55462351290E+000, +0.00000000000E+000
+9.37506250000E+007, -9.55905695114E+000, +0.00000000000E+000
+9.46875000000E+007, -9.56355908581E+000, +0.00000000000E+000
+9.56243750000E+007, -9.56805809968E+000, +0.00000000000E+000
+9.65612500000E+007, -9.57269758011E+000, +0.00000000000E+000
+9.74981250000E+007, -9.57740106740E+000, +0.00000000000E+000
+9.84350000000E+007, -9.58216392630E+000, +0.00000000000E+000
+9.93718750000E+007, -9.58694703054E+000, +0.00000000000E+000
+1.00308750000E+008, -9.59177759703E+000, +0.00000000000E+000
+1.01245625000E+008, -9.59668938207E+000, +0.00000000000E+000
+1.02182500000E+008, -9.60166161706E+000, +0.00000000000E+000
+1.03119375000E+008, -9.60670644475E+000, +0.00000000000E+000
+1.04056250000E+008, -9.61177592515E+000, +0.00000000000E+000
+1.04993125000E+008, -9.61696538465E+000, +0.00000000000E+000
+1.05930000000E+008, -9.62223648689E+000, +0.00000000000E+000
+1.06866875000E+008, -9.62759286753E+000, +0.00000000000E+000
+1.07803750000E+008, -9.63299796095E+000, +0.00000000000E+000
+1.08740625000E+008, -9.63847872146E+000, +0.00000000000E+000
+1.09677500000E+008, -9.64399633318E+000, +0.00000000000E+000
+1.10614375000E+008, -9.64962744459E+000, +0.00000000000E+000
+1.11551250000E+008, -9.65529454202E+000, +0.00000000000E+000
+1.12488125000E+008, -9.66100402473E+000, +0.00000000000E+000
+1.13425000000E+008, -9.66674050643E+000, +0.00000000000E+000
+1.14361875000E+008, -9.67258789172E+000, +0.00000000000E+000
+1.15298750000E+008, -9.67844517876E+000, +0.00000000000E+000
+1.16235625000E+008, -9.68433162454E+000, +0.00000000000E+000
+1.17172500000E+008, -9.69027842814E+000, +0.00000000000E+000
+1.18109375000E+008, -9.69623463382E+000, +0.00000000000E+000
