"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.22036390174E+001, +0.00000000000E+000
+1.93687500000E+006, -1.19612751192E+001, +0.00000000000E+000
+2.87375000000E+006, -1.19020708838E+001, +0.00000000000E+000
+3.81062500000E+006, -1.19365941078E+001, +0.00000000000E+000
+4.74750000000E+006, -1.20197258053E+001, +0.00000000000E+000
+5.68437500000E+006, -1.21367250660E+001, +0.00000000000E+000
+6.62125000000E+006, -1.22790338137E+001, +0.00000000000E+000
+7.55812500000E+006, -1.24430635052E+001, +0.00000000000E+000
+8.49500000000E+006, -1.26283295839E+001, +0.00000000000E+000
+9.43187500000E+006, -1.28326075335E+001, +0.00000000000E+000
+1.03687500000E+007, -1.30505323456E+001, +0.00000000000E+000
+1.13056250000E+007, -1.32770866572E+001, +0.00000000000E+000
+1.22425000000E+007, -1.35020085949E+001, +0.00000000000E+000
+1.31793750000E+007, -1.36670728486E+001, +0.00000000000E+000
+1.41162500000E+007, -1.38466038513E+001, +0.00000000000E+000
+1.50531250000E+007, -1.40310022648E+001, +0.00000000000E+000
+1.59900000000E+007, -1.42167251788E+001, +0.00000000000E+000
+1.69268750000E+007, -1.44009416092E+001, +0.00000000000E+000
+1.78637500000E+007, -1.45808343259E+001, +0.00000000000E+000
+1.88006250000E+007, -1.47553496003E+001, +0.00000000000E+000
+1.97375000000E+007, -1.49208589566E+001, +0.00000000000E+000
+2.06743750000E+007, -1.50769050344E+001, +0.00000000000E+000
+2.16112500000E+007, -1.52188500304E+001, +0.00000000000E+000
+2.25481250000E+007, -1.53464957514E+001, +0.00000000000E+000
+2.34850000000E+007, -1.54486355011E+001, +0.00000000000E+000
+2.44218750000E+007, -1.55209740282E+001, +0.00000000000E+000
+2.53587500000E+007, -1.55642899733E+001, +0.00000000000E+000
+2.62956250000E+007, -1.55903774160E+001, +0.00000000000E+000
+2.72325000000E+007, -1.56003959412E+001, +0.00000000000E+000
+2.81693750000E+007, -1.55950042331E+001, +0.00000000000E+000
+2.91062500000E+007, -1.55738152372E+001, +0.00000000000E+000
+3.00431250000E+007, -1.55407017269E+001, +0.00000000000E+000
+3.09800000000E+007, -1.54976113657E+001, +0.00000000000E+000
+3.19168750000E+007, -1.54436868150E+001, +0.00000000000E+000
+3.28537500000E+007, -1.53811256835E+001, +0.00000000000E+000
+3.37906250000E+007, -1.53098531551E+001, +0.00000000000E+000
+3.47275000000E+007, -1.52323217424E+001, +0.00000000000E+000
+3.56643750000E+007, -1.51513341932E+001, +0.00000000000E+000
+3.66012500000E+007, -1.50693628108E+001, +0.00000000000E+000
+3.75381250000E+007, -1.49904692640E+001, +0.00000000000E+000
+3.84750000000E+007, -1.49172848971E+001, +0.00000000000E+000
+3.94118750000E+007, -1.48532468488E+001, +0.00000000000E+000
+4.03487500000E+007, -1.47982759809E+001, +0.00000000000E+000
+4.12856250000E+007, -1.47535440378E+001, +0.00000000000E+000
+4.22225000000E+007, -1.47207335801E+001, +0.00000000000E+000
+4.31593750000E+007, -1.47034202989E+001, +0.00000000000E+000
+4.40962500000E+007, -1.47020916776E+001, +0.00000000000E+000
+4.50331250000E+007, -1.47210345265E+001, +0.00000000000E+000
+4.59700000000E+007, -1.47607256786E+001, +0.00000000000E+000
+4.69068750000E+007, -1.48316618757E+001, +0.00000000000E+000
+4.78437500000E+007, -1.49367690095E+001, +0.00000000000E+000
+4.87806250000E+007, -1.50752901048E+001, +0.00000000000E+000
+4.97175000000E+007, -1.52352537367E+001, +0.00000000000E+000
+5.06543750000E+007, -1.54142883790E+001, +0.00000000000E+000
+5.15912500000E+007, -1.56095365669E+001, +0.00000000000E+000
+5.25281250000E+007, -1.58158409164E+001, +0.00000000000E+000
+5.34650000000E+007, -1.60286323298E+001, +0.00000000000E+000
+5.44018750000E+007, -1.62443134558E+001, +0.00000000000E+000
+5.53387500000E+007, -1.64616201413E+001, +0.00000000000E+000
+5.62756250000E+007, -1.66806560497E+001, +0.00000000000E+000
+5.72125000000E+007, -1.69006533962E+001, +0.00000000000E+000
+5.81493750000E+007, -1.71205950340E+001, +0.00000000000E+000
+5.90862500000E+007, -1.73378779151E+001, +0.00000000000E+000
+6.00231250000E+007, -1.75513675505E+001, +0.00000000000E+000
+6.09600000000E+007, -1.77600633612E+001, +0.00000000000E+000
+6.18968750000E+007, -1.79628580157E+001, +0.00000000000E+000
+6.28337500000E+007, -1.81557126305E+001, +0.00000000000E+000
+6.37706250000E+007, -1.83368533290E+001, +0.00000000000E+000
+6.47075000000E+007, -1.85066176196E+001, +0.00000000000E+000
+6.56443750000E+007, -1.86640278848E+001, +0.00000000000E+000
+6.65812500000E+007, -1.88076993225E+001, +0.00000000000E+000
+6.75181250000E+007, -1.89366232230E+001, +0.00000000000E+000
+6.84550000000E+007, -1.90493835870E+001, +0.00000000000E+000
+6.93918750000E+007, -1.91460740381E+001, +0.00000000000E+000
+7.03287500000E+007, -1.92264782845E+001, +0.00000000000E+000
+7.12656250000E+007, -1.92904420173E+001, +0.00000000000E+000
+7.22025000000E+007, -1.93378196090E+001, +0.00000000000E+000
+7.31393750000E+007, -1.93677756613E+001, +0.00000000000E+000
+7.40762500000E+007, -1.93801275949E+001, +0.00000000000E+000
+7.50131250000E+007, -1.93769433177E+001, +0.00000000000E+000
+7.59500000000E+007, -1.93628868928E+001, +0.00000000000E+000
+7.68868750000E+007, -1.93398208958E+001, +0.00000000000E+000
+7.78237500000E+007, -1.93078023254E+001, +0.00000000000E+000
+7.87606250000E+007, -1.92684946309E+001, +0.00000000000E+000
+7.96975000000E+007, -1.92317092267E+001, +0.00000000000E+000
+8.06343750000E+007, -1.91923463425E+001, +0.00000000000E+000
+8.15712500000E+007, -1.91539381844E+001, +0.00000000000E+000
+8.25081250000E+007, -1.91119863856E+001, +0.00000000000E+000
+8.34450000000E+007, -1.90679933440E+001, +0.00000000000E+000
+8.43818750000E+007, -1.90194846182E+001, +0.00000000000E+000
+8.53187500000E+007, -1.89662351029E+001, +0.00000000000E+000
+8.62556250000E+007, -1.89112375311E+001, +0.00000000000E+000
+8.71925000000E+007, -1.88555429151E+001, +0.00000000000E+000
+8.81293750000E+007, -1.87997322740E+001, +0.00000000000E+000
+8.90662500000E+007, -1.87719279067E+001, +0.00000000000E+000
+9.00031250000E+007, -1.87513779526E+001, +0.00000000000E+000
+9.09400000000E+007, -1.87704545840E+001, +0.00000000000E+000
+9.18768750000E+007, -1.88056988925E+001, +0.00000000000E+000
