"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.71542693238E+000, +0.00000000000E+000
+1.93687500000E+006, -9.42413934381E+000, +0.00000000000E+000
+2.87375000000E+006, -9.31718984136E+000, +0.00000000000E+000
+3.81062500000E+006, -9.26916254504E+000, +0.00000000000E+000
+4.74750000000E+006, -9.25076801170E+000, +0.00000000000E+000
+5.68437500000E+006, -9.24823182797E+000, +0.00000000000E+000
+6.62125000000E+006, -9.25671401969E+000, +0.00000000000E+000
+7.55812500000E+006, -9.27359625430E+000, +0.00000000000E+000
+8.49500000000E+006, -9.29664377018E+000, +0.00000000000E+000
+9.43187500000E+006, -9.32478840622E+000, +0.00000000000E+000
+1.03687500000E+007, -9.35724110545E+000, +0.00000000000E+000
+1.13056250000E+007, -9.39339441276E+000, +0.00000000000E+000
+1.22425000000E+007, -9.43293635377E+000, +0.00000000000E+000
+1.31793750000E+007, -9.44336770395E+000, +0.00000000000E+000
+1.41162500000E+007, -9.47143926011E+000, +0.00000000000E+000
+1.50531250000E+007, -9.50640023402E+000, +0.00000000000E+000
+1.59900000000E+007, -9.54598777928E+000, +0.00000000000E+000
+1.69268750000E+007, -9.58913597897E+000, +0.00000000000E+000
+1.78637500000E+007, -9.63498837647E+000, +0.00000000000E+000
+1.88006250000E+007, -9.68287236489E+000, +0.00000000000E+000
+1.97375000000E+007, -9.73256653677E+000, +0.00000000000E+000
+2.06743750000E+007, -9.78411125862E+000, +0.00000000000E+000
+2.16112500000E+007, -9.83728736224E+000, +0.00000000000E+000
+2.25481250000E+007, -9.89190685613E+000, +0.00000000000E+000
+2.34850000000E+007, -9.94785817774E+000, +0.00000000000E+000
+2.44218750000E+007, -1.00048823683E+001, +0.00000000000E+000
+2.53587500000E+007, -1.00629531785E+001, +0.00000000000E+000
+2.62956250000E+007, -1.01219642031E+001, +0.00000000000E+000
+2.72325000000E+007, -1.01817810467E+001, +0.00000000000E+000
+2.81693750000E+007, -1.02423779655E+001, +0.00000000000E+000
+2.91062500000E+007, -1.03035741415E+001, +0.00000000000E+000
+3.00431250000E+007, -1.03651919569E+001, +0.00000000000E+000
+3.09800000000E+007, -1.04272043535E+001, +0.00000000000E+000
+3.19168750000E+007, -1.04894644419E+001, +0.00000000000E+000
+3.28537500000E+007, -1.05517825798E+001, +0.00000000000E+000
+3.37906250000E+007, -1.06140063537E+001, +0.00000000000E+000
+3.47275000000E+007, -1.06760215472E+001, +0.00000000000E+000
+3.56643750000E+007, -1.07374730257E+001, +0.00000000000E+000
+3.66012500000E+007, -1.07985644260E+001, +0.00000000000E+000
+3.75381250000E+007, -1.08590695794E+001, +0.00000000000E+000
+3.84750000000E+007, -1.09186924624E+001, +0.00000000000E+000
+3.94118750000E+007, -1.09785169491E+001, +0.00000000000E+000
+4.03487500000E+007, -1.10371704704E+001, +0.00000000000E+000
+4.12856250000E+007, -1.10943832702E+001, +0.00000000000E+000
+4.22225000000E+007, -1.11501139401E+001, +0.00000000000E+000
+4.31593750000E+007, -1.12041158485E+001, +0.00000000000E+000
+4.40962500000E+007, -1.12562564144E+001, +0.00000000000E+000
+4.50331250000E+007, -1.13063239053E+001, +0.00000000000E+000
+4.59700000000E+007, -1.13540511255E+001, +0.00000000000E+000
+4.69068750000E+007, -1.13994637009E+001, +0.00000000000E+000
+4.78437500000E+007, -1.14423887604E+001, +0.00000000000E+000
+4.87806250000E+007, -1.14825172306E+001, +0.00000000000E+000
+4.97175000000E+007, -1.15199269898E+001, +0.00000000000E+000
+5.06543750000E+007, -1.15543712662E+001, +0.00000000000E+000
+5.15912500000E+007, -1.15855619384E+001, +0.00000000000E+000
+5.25281250000E+007, -1.16136940240E+001, +0.00000000000E+000
+5.34650000000E+007, -1.16384800948E+001, +0.00000000000E+000
+5.44018750000E+007, -1.16597851620E+001, +0.00000000000E+000
+5.53387500000E+007, -1.16776899171E+001, +0.00000000000E+000
+5.62756250000E+007, -1.16920397210E+001, +0.00000000000E+000
+5.72125000000E+007, -1.17028138650E+001, +0.00000000000E+000
+5.81493750000E+007, -1.17099243355E+001, +0.00000000000E+000
+5.90862500000E+007, -1.17135371924E+001, +0.00000000000E+000
+6.00231250000E+007, -1.17134102635E+001, +0.00000000000E+000
+6.09600000000E+007, -1.17096592730E+001, +0.00000000000E+000
+6.18968750000E+007, -1.17022046971E+001, +0.00000000000E+000
+6.28337500000E+007, -1.16901189319E+001, +0.00000000000E+000
+6.37706250000E+007, -1.16744599914E+001, +0.00000000000E+000
+6.47075000000E+007, -1.16553864389E+001, +0.00000000000E+000
+6.56443750000E+007, -1.16330747319E+001, +0.00000000000E+000
+6.65812500000E+007, -1.16075405106E+001, +0.00000000000E+000
+6.75181250000E+007, -1.15787515801E+001, +0.00000000000E+000
+6.84550000000E+007, -1.15470635579E+001, +0.00000000000E+000
+6.93918750000E+007, -1.15126474572E+001, +0.00000000000E+000
+7.03287500000E+007, -1.14753671329E+001, +0.00000000000E+000
+7.12656250000E+007, -1.14356314237E+001, +0.00000000000E+000
+7.22025000000E+007, -1.13935425630E+001, +0.00000000000E+000
+7.31393750000E+007, -1.13491916047E+001, +0.00000000000E+000
+7.40762500000E+007, -1.13027999789E+001, +0.00000000000E+000
+7.50131250000E+007, -1.12545898393E+001, +0.00000000000E+000
+7.59500000000E+007, -1.12045958791E+001, +0.00000000000E+000
+7.68868750000E+007, -1.11531535994E+001, +0.00000000000E+000
+7.78237500000E+007, -1.11003503063E+001, +0.00000000000E+000
+7.87606250000E+007, -1.10464061284E+001, +0.00000000000E+000
+7.96975000000E+007, -1.09914717308E+001, +0.00000000000E+000
+8.06343750000E+007, -1.09357060308E+001, +0.00000000000E+000
+8.15712500000E+007, -1.08794048117E+001, +0.00000000000E+000
+8.25081250000E+007, -1.08230085875E+001, +0.00000000000E+000
+8.34450000000E+007, -1.07658878062E+001, +0.00000000000E+000
+8.43818750000E+007, -1.07086422689E+001, +0.00000000000E+000
+8.53187500000E+007, -1.06515033327E+001, +0.00000000000E+000
+8.62556250000E+007, -1.05944022426E+001, +0.00000000000E+000
+8.71925000000E+007, -1.05377374295E+001, +0.00000000000E+000
+8.81293750000E+007, -1.04814976279E+001, +0.00000000000E+000
+8.90662500000E+007, -1.04257607594E+001, +0.00000000000E+000
+9.00031250000E+007, -1.03707424565E+001, +0.00000000000E+000
+9.09400000000E+007, -1.03166707434E+001, +0.00000000000E+000
+9.18768750000E+007, -1.02635003468E+001, +0.00000000000E+000
+9.28137500000E+007, -1.02113455898E+001, +0.00000000000E+000
+9.37506250000E+007, -1.01605420703E+001, +0.00000000000E+000
+9.46875000000E+007, -1.01109250213E+001, +0.00000000000E+000
+9.56243750000E+007, -1.00626384987E+001, +0.00000000000E+000
+9.65612500000E+007, -1.00158003049E+001, +0.00000000000E+000
+9.74981250000E+007, -9.97058489512E+000, +0.00000000000E+000
+9.84350000000E+007, -9.92696047737E+000, +0.00000000000E+000
+9.93718750000E+007, -9.88494135580E+000, +0.00000000000E+000
+1.00308750000E+008, -9.84471407450E+000, +0.00000000000E+000
+1.01245625000E+008, -9.80634854159E+000, +0.00000000000E+000
+1.02182500000E+008, -9.76973713576E+000, +0.00000000000E+000
+1.03119375000E+008, -9.73507208178E+000, +0.00000000000E+000
+1.04056250000E+008, -9.70231360846E+000, +0.00000000000E+000
+1.04993125000E+008, -9.67149274214E+000, +0.00000000000E+000
+1.05930000000E+008, -9.64233078942E+000, +0.00000000000E+000
+1.06866875000E+008, -9.61561056739E+000, +0.00000000000E+000
+1.07803750000E+008, -9.59090777839E+000, +0.00000000000E+000
+1.08740625000E+008, -9.56837241064E+000, +0.00000000000E+000
+1.09677500000E+008, -9.54795354668E+000, +0.00000000000E+000
+1.10614375000E+008, -9.52962026769E+000, +0.00000000000E+000
+1.11551250000E+008, -9.51341579094E+000, +0.00000000000E+000
+1.12488125000E+008, -9.49942710891E+000, +0.00000000000E+000
+1.13425000000E+008, -9.48759293619E+000, +0.00000000000E+000
+1.14361875000E+008, -9.47788946810E+000, +0.00000000000E+000
+1.15298750000E+008, -9.47039008359E+000, +0.00000000000E+000
+1.16235625000E+008, -9.46510972751E+000, +0.00000000000E+000
+1.17172500000E+008, -9.46185564870E+000, +0.00000000000E+000
+1.18109375000E+008, -9.46079473111E+000, +0.00000000000E+000
+1.19046250000E+008, -9.46198352098E+000, +0.00000000000E+000
+1.19983125000E+008, -9.46526192519E+000, +0.00000000000E+000
+1.20920000000E+008, -9.47056259536E+000, +0.00000000000E+000
+1.21856875000E+008, -9.47804748035E+000, +0.00000000000E+000
+1.22793750000E+008, -9.48756873143E+000, +0.00000000000E+000
+1.23730625000E+008, -9.49916899268E+000, +0.00000000000E+000
+1.24667500000E+008, -9.51279979709E+000, +0.00000000000E+000
+1.25604375000E+008, -9.52844566643E+000, +0.00000000000E+000
+1.26541250000E+008, -9.54607846090E+000, +0.00000000000E+000
+1.27478125000E+008, -9.56568317969E+000, +0.00000000000E+000
+1.28415000000E+008, -9.58711919222E+000, +0.00000000000E+000
+1.29351875000E+008, -9.61051880899E+000, +0.00000000000E+000
+1.30288750000E+008, -9.63569534687E+000, +0.00000000000E+000
+1.31225625000E+008, -9.66276674920E+000, +0.00000000000E+000
+1.32162500000E+008, -9.69148376977E+000, +0.00000000000E+000
+1.33099375000E+008, -9.72182205121E+000, +0.00000000000E+000
+1.34036250000E+008, -9.75386073342E+000, +0.00000000000E+000
+1.34973125000E+008, -9.78750138553E+000, +0.00000000000E+000
+1.35910000000E+008, -9.82251032340E+000, +0.00000000000E+000
+1.36846875000E+008, -9.85901546263E+000, +0.00000000000E+000
+1.37783750000E+008, -9.89689174114E+000, +0.00000000000E+000
+1.38720625000E+008, -9.93560411433E+000, +0.00000000000E+000
+1.39657500000E+008, -9.97489164538E+000, +0.00000000000E+000
+1.40594375000E+008, -1.00153613212E+001, +0.00000000000E+000
+1.41531250000E+008, -1.00567731386E+001, +0.00000000000E+000
+1.42468125000E+008, -1.00990329612E+001, +0.00000000000E+000
+1.43405000000E+008, -1.01422063988E+001, +0.00000000000E+000
+1.44341875000E+008, -1.01861214453E+001, +0.00000000000E+000
+1.45278750000E+008, -1.02305880876E+001, +0.00000000000E+000
+1.46215625000E+008, -1.02756527523E+001, +0.00000000000E+000
+1.47152500000E+008, -1.03210061785E+001, +0.00000000000E+000
+1.48089375000E+008, -1.03667327301E+001, +0.00000000000E+000
+1.49026250000E+008, -1.04125447988E+001, +0.00000000000E+000
+1.49963125000E+008, -1.04584776643E+001, +0.00000000000E+000
