"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.64478577296E+001, +0.00000000000E+000
+1.93687500000E+006, -1.62029444603E+001, +0.00000000000E+000
+2.87375000000E+006, -1.61043378651E+001, +0.00000000000E+000
+3.81062500000E+006, -1.60504975297E+001, +0.00000000000E+000
+4.74750000000E+006, -1.60189763462E+001, +0.00000000000E+000
+5.68437500000E+006, -1.59984282112E+001, +0.00000000000E+000
+6.62125000000E+006, -1.59849145688E+001, +0.00000000000E+000
+7.55812500000E+006, -1.59757883621E+001, +0.00000000000E+000
+8.49500000000E+006, -1.59693617731E+001, +0.00000000000E+000
+9.43187500000E+006, -1.59651413283E+001, +0.00000000000E+000
+1.03687500000E+007, -1.59622022009E+001, +0.00000000000E+000
+1.13056250000E+007, -1.59597868663E+001, +0.00000000000E+000
+1.22425000000E+007, -1.59569272067E+001, +0.00000000000E+000
+1.31793750000E+007, -1.59355800793E+001, +0.00000000000E+000
+1.41162500000E+007, -1.59272251668E+001, +0.00000000000E+000
+1.50531250000E+007, -1.59220393816E+001, +0.00000000000E+000
+1.59900000000E+007, -1.59194790511E+001, +0.00000000000E+000
+1.69268750000E+007, -1.59181571017E+001, +0.00000000000E+000
+1.78637500000E+007, -1.59178401676E+001, +0.00000000000E+000
+1.88006250000E+007, -1.59175271722E+001, +0.00000000000E+000
+1.97375000000E+007, -1.59177974058E+001, +0.00000000000E+000
+2.06743750000E+007, -1.59181443313E+001, +0.00000000000E+000
+2.16112500000E+007, -1.59187042791E+001, +0.00000000000E+000
+2.25481250000E+007, -1.59197101393E+001, +0.00000000000E+000
+2.34850000000E+007, -1.59207766857E+001, +0.00000000000E+000
+2.44218750000E+007, -1.59221717158E+001, +0.00000000000E+000
+2.53587500000E+007, -1.59233751152E+001, +0.00000000000E+000
+2.62956250000E+007, -1.59253683990E+001, +0.00000000000E+000
+2.72325000000E+007, -1.59269211580E+001, +0.00000000000E+000
+2.81693750000E+007, -1.59291684514E+001, +0.00000000000E+000
+2.91062500000E+007, -1.59310925355E+001, +0.00000000000E+000
+3.00431250000E+007, -1.59339851986E+001, +0.00000000000E+000
+3.09800000000E+007, -1.59367043912E+001, +0.00000000000E+000
+3.19168750000E+007, -1.59400636798E+001, +0.00000000000E+000
+3.28537500000E+007, -1.59435133140E+001, +0.00000000000E+000
+3.37906250000E+007, -1.59480826638E+001, +0.00000000000E+000
+3.47275000000E+007, -1.59529555626E+001, +0.00000000000E+000
+3.56643750000E+007, -1.59587552148E+001, +0.00000000000E+000
+3.66012500000E+007, -1.59653850262E+001, +0.00000000000E+000
+3.75381250000E+007, -1.59726393166E+001, +0.00000000000E+000
+3.84750000000E+007, -1.59807354508E+001, +0.00000000000E+000
+3.94118750000E+007, -1.59889892735E+001, +0.00000000000E+000
+4.03487500000E+007, -1.59978959576E+001, +0.00000000000E+000
+4.12856250000E+007, -1.60067279956E+001, +0.00000000000E+000
+4.22225000000E+007, -1.60162146786E+001, +0.00000000000E+000
+4.31593750000E+007, -1.60253805863E+001, +0.00000000000E+000
+4.40962500000E+007, -1.60352856434E+001, +0.00000000000E+000
+4.50331250000E+007, -1.60449144209E+001, +0.00000000000E+000
+4.59700000000E+007, -1.60548808115E+001, +0.00000000000E+000
+4.69068750000E+007, -1.60643994792E+001, +0.00000000000E+000
+4.78437500000E+007, -1.60741799569E+001, +0.00000000000E+000
+4.87806250000E+007, -1.60838475797E+001, +0.00000000000E+000
+4.97175000000E+007, -1.60934430377E+001, +0.00000000000E+000
+5.06543750000E+007, -1.61029827672E+001, +0.00000000000E+000
+5.15912500000E+007, -1.61123331632E+001, +0.00000000000E+000
+5.25281250000E+007, -1.61217331926E+001, +0.00000000000E+000
+5.34650000000E+007, -1.61306346900E+001, +0.00000000000E+000
+5.44018750000E+007, -1.61396933977E+001, +0.00000000000E+000
+5.53387500000E+007, -1.61480947410E+001, +0.00000000000E+000
+5.62756250000E+007, -1.61566055031E+001, +0.00000000000E+000
+5.72125000000E+007, -1.61642678143E+001, +0.00000000000E+000
+5.81493750000E+007, -1.61722403513E+001, +0.00000000000E+000
+5.90862500000E+007, -1.61794961062E+001, +0.00000000000E+000
+6.00231250000E+007, -1.61865727017E+001, +0.00000000000E+000
+6.09600000000E+007, -1.61926798212E+001, +0.00000000000E+000
+6.18968750000E+007, -1.61989256789E+001, +0.00000000000E+000
+6.28337500000E+007, -1.62047199594E+001, +0.00000000000E+000
+6.37706250000E+007, -1.62103767912E+001, +0.00000000000E+000
+6.47075000000E+007, -1.62158409606E+001, +0.00000000000E+000
+6.56443750000E+007, -1.62211910047E+001, +0.00000000000E+000
+6.65812500000E+007, -1.62263700183E+001, +0.00000000000E+000
+6.75181250000E+007, -1.62312733785E+001, +0.00000000000E+000
+6.84550000000E+007, -1.62360166680E+001, +0.00000000000E+000
+6.93918750000E+007, -1.62403094432E+001, +0.00000000000E+000
+7.03287500000E+007, -1.62448785591E+001, +0.00000000000E+000
+7.12656250000E+007, -1.62488556810E+001, +0.00000000000E+000
