"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -9.63944667952E+000, +0.00000000000E+000
+1.93687500000E+006, -9.34958462159E+000, +0.00000000000E+000
+2.87375000000E+006, -9.23944058831E+000, +0.00000000000E+000
+3.81062500000E+006, -9.18214243283E+000, +0.00000000000E+000
+4.74750000000E+006, -9.15045365872E+000, +0.00000000000E+000
+5.68437500000E+006, -9.13107003797E+000, +0.00000000000E+000
+6.62125000000E+006, -9.12001382223E+000, +0.00000000000E+000
+7.55812500000E+006, -9.11410655454E+000, +0.00000000000E+000
+8.49500000000E+006, -9.11141360066E+000, +0.00000000000E+000
+9.43187500000E+006, -9.11113094727E+000, +0.00000000000E+000
+1.03687500000E+007, -9.11245342677E+000, +0.00000000000E+000
+1.13056250000E+007, -9.11490788207E+000, +0.00000000000E+000
+1.22425000000E+007, -9.11824838155E+000, +0.00000000000E+000
+1.31793750000E+007, -9.09935967918E+000, +0.00000000000E+000
+1.41162500000E+007, -9.09595034617E+000, +0.00000000000E+000
+1.50531250000E+007, -9.09732754450E+000, +0.00000000000E+000
+1.59900000000E+007, -9.10114553949E+000, +0.00000000000E+000
+1.69268750000E+007, -9.10682729437E+000, +0.00000000000E+000
+1.78637500000E+007, -9.11331208702E+000, +0.00000000000E+000
+1.88006250000E+007, -9.12016798933E+000, +0.00000000000E+000
+1.97375000000E+007, -9.12728335933E+000, +0.00000000000E+000
+2.06743750000E+007, -9.13457781548E+000, +0.00000000000E+000
+2.16112500000E+007, -9.14212237011E+000, +0.00000000000E+000
+2.25481250000E+007, -9.14972742965E+000, +0.00000000000E+000
+2.34850000000E+007, -9.15728112641E+000, +0.00000000000E+000
+2.44218750000E+007, -9.16469430998E+000, +0.00000000000E+000
+2.53587500000E+007, -9.17205427959E+000, +0.00000000000E+000
+2.62956250000E+007, -9.17935369326E+000, +0.00000000000E+000
+2.72325000000E+007, -9.18660543854E+000, +0.00000000000E+000
+2.81693750000E+007, -9.19370445096E+000, +0.00000000000E+000
+2.91062500000E+007, -9.20072153730E+000, +0.00000000000E+000
+3.00431250000E+007, -9.20768251460E+000, +0.00000000000E+000
+3.09800000000E+007, -9.21452209674E+000, +0.00000000000E+000
+3.19168750000E+007, -9.22129316361E+000, +0.00000000000E+000
+3.28537500000E+007, -9.22797237218E+000, +0.00000000000E+000
+3.37906250000E+007, -9.23458708291E+000, +0.00000000000E+000
+3.47275000000E+007, -9.24108044998E+000, +0.00000000000E+000
+3.56643750000E+007, -9.24756456464E+000, +0.00000000000E+000
+3.66012500000E+007, -9.25398668354E+000, +0.00000000000E+000
+3.75381250000E+007, -9.26031325333E+000, +0.00000000000E+000
+3.84750000000E+007, -9.26668374327E+000, +0.00000000000E+000
+3.94118750000E+007, -9.27296885036E+000, +0.00000000000E+000
+4.03487500000E+007, -9.27913255162E+000, +0.00000000000E+000
+4.12856250000E+007, -9.28537623575E+000, +0.00000000000E+000
+4.22225000000E+007, -9.29153716622E+000, +0.00000000000E+000
+4.31593750000E+007, -9.29761219430E+000, +0.00000000000E+000
+4.40962500000E+007, -9.30370866067E+000, +0.00000000000E+000
+4.50331250000E+007, -9.30973050222E+000, +0.00000000000E+000
+4.59700000000E+007, -9.31569092554E+000, +0.00000000000E+000
+4.69068750000E+007, -9.32160271965E+000, +0.00000000000E+000
+4.78437500000E+007, -9.32747343690E+000, +0.00000000000E+000
+4.87806250000E+007, -9.33322285481E+000, +0.00000000000E+000
+4.97175000000E+007, -9.33896882468E+000, +0.00000000000E+000
+5.06543750000E+007, -9.34474130005E+000, +0.00000000000E+000
+5.15912500000E+007, -9.35044944615E+000, +0.00000000000E+000
+5.25281250000E+007, -9.35608581102E+000, +0.00000000000E+000
+5.34650000000E+007, -9.36165543535E+000, +0.00000000000E+000
+5.44018750000E+007, -9.36717348416E+000, +0.00000000000E+000
+5.53387500000E+007, -9.37267644190E+000, +0.00000000000E+000
+5.62756250000E+007, -9.37816412255E+000, +0.00000000000E+000
+5.72125000000E+007, -9.38356730940E+000, +0.00000000000E+000
+5.81493750000E+007, -9.38894169234E+000, +0.00000000000E+000
+5.90862500000E+007, -9.39423004170E+000, +0.00000000000E+000
+6.00231250000E+007, -9.39947362704E+000, +0.00000000000E+000
+6.09600000000E+007, -9.40462184950E+000, +0.00000000000E+000
+6.18968750000E+007, -9.40968753535E+000, +0.00000000000E+000
+6.28337500000E+007, -9.41474121591E+000, +0.00000000000E+000
+6.37706250000E+007, -9.41974865678E+000, +0.00000000000E+000
+6.47075000000E+007, -9.42471791984E+000, +0.00000000000E+000
+6.56443750000E+007, -9.42968633112E+000, +0.00000000000E+000
+6.65812500000E+007, -9.43460347438E+000, +0.00000000000E+000
+6.75181250000E+007, -9.43938807356E+000, +0.00000000000E+000
+6.84550000000E+007, -9.44407621242E+000, +0.00000000000E+000
+6.93918750000E+007, -9.44876388769E+000, +0.00000000000E+000
+7.03287500000E+007, -9.45338131132E+000, +0.00000000000E+000
+7.12656250000E+007, -9.45795261949E+000, +0.00000000000E+000
+7.22025000000E+007, -9.46256142328E+000, +0.00000000000E+000
+7.31393750000E+007, -9.46712594931E+000, +0.00000000000E+000
+7.40762500000E+007, -9.47159322087E+000, +0.00000000000E+000
+7.50131250000E+007, -9.47604705723E+000, +0.00000000000E+000
+7.59500000000E+007, -9.48045315470E+000, +0.00000000000E+000
+7.68868750000E+007, -9.48484390875E+000, +0.00000000000E+000
+7.78237500000E+007, -9.48925113510E+000, +0.00000000000E+000
+7.87606250000E+007, -9.49361895240E+000, +0.00000000000E+000
+7.96975000000E+007, -9.49793894639E+000, +0.00000000000E+000
+8.06343750000E+007, -9.50224600187E+000, +0.00000000000E+000
+8.15712500000E+007, -9.50663936070E+000, +0.00000000000E+000
+8.25081250000E+007, -9.51092164817E+000, +0.00000000000E+000
+8.34450000000E+007, -9.51521734406E+000, +0.00000000000E+000
+8.43818750000E+007, -9.51960356107E+000, +0.00000000000E+000
+8.53187500000E+007, -9.52389624732E+000, +0.00000000000E+000
+8.62556250000E+007, -9.52820983402E+000, +0.00000000000E+000
+8.71925000000E+007, -9.53252110024E+000, +0.00000000000E+000
+8.81293750000E+007, -9.53674719314E+000, +0.00000000000E+000
+8.90662500000E+007, -9.54094660846E+000, +0.00000000000E+000
+9.00031250000E+007, -9.54524239759E+000, +0.00000000000E+000
+9.09400000000E+007, -9.54957945887E+000, +0.00000000000E+000
+9.18768750000E+007, -9.55403297302E+000, +0.00000000000E+000
+9.28137500000E+007, -9.55848848423E+000, +0.00000000000E+000
+9.37506250000E+007, -9.56298644511E+000, +0.00000000000E+000
+9.46875000000E+007, -9.56752013601E+000, +0.00000000000E+000
+9.56243750000E+007, -9.57215572528E+000, +0.00000000000E+000
+9.65612500000E+007, -9.57680974131E+000, +0.00000000000E+000
+9.74981250000E+007, -9.58149100455E+000, +0.00000000000E+000
+9.84350000000E+007, -9.58625089983E+000, +0.00000000000E+000
+9.93718750000E+007, -9.59116081720E+000, +0.00000000000E+000
+1.00308750000E+008, -9.59617035130E+000, +0.00000000000E+000
+1.01245625000E+008, -9.60116371042E+000, +0.00000000000E+000
+1.02182500000E+008, -9.60617162762E+000, +0.00000000000E+000
+1.03119375000E+008, -9.61129982207E+000, +0.00000000000E+000
+1.04056250000E+008, -9.61645299795E+000, +0.00000000000E+000
+1.04993125000E+008, -9.62165307650E+000, +0.00000000000E+000
+1.05930000000E+008, -9.62688447103E+000, +0.00000000000E+000
+1.06866875000E+008, -9.63225145623E+000, +0.00000000000E+000
+1.07803750000E+008, -9.63755856017E+000, +0.00000000000E+000
+1.08740625000E+008, -9.64297577994E+000, +0.00000000000E+000
+1.09677500000E+008, -9.64845978758E+000, +0.00000000000E+000
+1.10614375000E+008, -9.65403069017E+000, +0.00000000000E+000
+1.11551250000E+008, -9.65969494546E+000, +0.00000000000E+000
+1.12488125000E+008, -9.66541866787E+000, +0.00000000000E+000
+1.13425000000E+008, -9.67110396752E+000, +0.00000000000E+000
+1.14361875000E+008, -9.67689628945E+000, +0.00000000000E+000
+1.15298750000E+008, -9.68262744687E+000, +0.00000000000E+000
+1.16235625000E+008, -9.68848769600E+000, +0.00000000000E+000
+1.17172500000E+008, -9.69433787659E+000, +0.00000000000E+000
+1.18109375000E+008, -9.70018465883E+000, +0.00000000000E+000
+1.19046250000E+008, -9.70604935975E+000, +0.00000000000E+000
+1.19983125000E+008, -9.71196964858E+000, +0.00000000000E+000
+1.20920000000E+008, -9.71794200849E+000, +0.00000000000E+000
+1.21856875000E+008, -9.72383490290E+000, +0.00000000000E+000
+1.22793750000E+008, -9.72972708065E+000, +0.00000000000E+000
+1.23730625000E+008, -9.73559266600E+000, +0.00000000000E+000
+1.24667500000E+008, -9.74148813583E+000, +0.00000000000E+000
+1.25604375000E+008, -9.74736617628E+000, +0.00000000000E+000
+1.26541250000E+008, -9.75325422319E+000, +0.00000000000E+000
+1.27478125000E+008, -9.75918365280E+000, +0.00000000000E+000
+1.28415000000E+008, -9.76498402708E+000, +0.00000000000E+000
+1.29351875000E+008, -9.77086623036E+000, +0.00000000000E+000
+1.30288750000E+008, -9.77658689343E+000, +0.00000000000E+000
+1.31225625000E+008, -9.78233339893E+000, +0.00000000000E+000
+1.32162500000E+008, -9.78806679162E+000, +0.00000000000E+000
+1.33099375000E+008, -9.79366794841E+000, +0.00000000000E+000
+1.34036250000E+008, -9.79919582143E+000, +0.00000000000E+000
+1.34973125000E+008, -9.80469873762E+000, +0.00000000000E+000
+1.35910000000E+008, -9.81011665481E+000, +0.00000000000E+000
+1.36846875000E+008, -9.81544784921E+000, +0.00000000000E+000
+1.37783750000E+008, -9.82067640317E+000, +0.00000000000E+000
+1.38720625000E+008, -9.82582035600E+000, +0.00000000000E+000
+1.39657500000E+008, -9.83082773262E+000, +0.00000000000E+000
+1.40594375000E+008, -9.83584181061E+000, +0.00000000000E+000
+1.41531250000E+008, -9.84077028575E+000, +0.00000000000E+000
+1.42468125000E+008, -9.84556224121E+000, +0.00000000000E+000
+1.43405000000E+008, -9.85018591958E+000, +0.00000000000E+000
+1.44341875000E+008, -9.85472892054E+000, +0.00000000000E+000
+1.45278750000E+008, -9.85917739202E+000, +0.00000000000E+000
+1.46215625000E+008, -9.86347054098E+000, +0.00000000000E+000
+1.47152500000E+008, -9.86760309267E+000, +0.00000000000E+000
+1.48089375000E+008, -9.87165173681E+000, +0.00000000000E+000
+1.49026250000E+008, -9.87558228907E+000, +0.00000000000E+000
+1.49963125000E+008, -9.87937428746E+000, +0.00000000000E+000
+1.50900000000E+008, -9.88298094499E+000, +0.00000000000E+000
+1.51836875000E+008, -9.88654041612E+000, +0.00000000000E+000
+1.52773750000E+008, -9.88991740051E+000, +0.00000000000E+000
+1.53710625000E+008, -9.89329369204E+000, +0.00000000000E+000
+1.54647500000E+008, -9.89648951426E+000, +0.00000000000E+000
+1.55584375000E+008, -9.89959639654E+000, +0.00000000000E+000
+1.56521250000E+008, -9.90269754479E+000, +0.00000000000E+000
+1.57458125000E+008, -9.90576129846E+000, +0.00000000000E+000
+1.58395000000E+008, -9.90866994222E+000, +0.00000000000E+000
+1.59331875000E+008, -9.91157030270E+000, +0.00000000000E+000
+1.60268750000E+008, -9.91445236328E+000, +0.00000000000E+000
+1.61205625000E+008, -9.91732672654E+000, +0.00000000000E+000
+1.62142500000E+008, -9.92025984966E+000, +0.00000000000E+000
+1.63079375000E+008, -9.92316296498E+000, +0.00000000000E+000
+1.64016250000E+008, -9.92607022502E+000, +0.00000000000E+000
+1.64953125000E+008, -9.92900627590E+000, +0.00000000000E+000
+1.65890000000E+008, -9.93195766239E+000, +0.00000000000E+000
+1.66826875000E+008, -9.93502348362E+000, +0.00000000000E+000
+1.67763750000E+008, -9.93810292324E+000, +0.00000000000E+000
+1.68700625000E+008, -9.94124876415E+000, +0.00000000000E+000
+1.69637500000E+008, -9.94452053324E+000, +0.00000000000E+000
+1.70574375000E+008, -9.94792726832E+000, +0.00000000000E+000
+1.71511250000E+008, -9.95139744513E+000, +0.00000000000E+000
+1.72448125000E+008, -9.95506083806E+000, +0.00000000000E+000
+1.73385000000E+008, -9.95882378733E+000, +0.00000000000E+000
+1.74321875000E+008, -9.96275765215E+000, +0.00000000000E+000
+1.75258750000E+008, -9.96679522354E+000, +0.00000000000E+000
+1.76195625000E+008, -9.97098204056E+000, +0.00000000000E+000
+1.77132500000E+008, -9.97525326563E+000, +0.00000000000E+000
+1.78069375000E+008, -9.97971424488E+000, +0.00000000000E+000
+1.79006250000E+008, -9.98428960471E+000, +0.00000000000E+000
+1.79943125000E+008, -9.98894053458E+000, +0.00000000000E+000
+1.80880000000E+008, -9.99363001309E+000, +0.00000000000E+000
+1.81816875000E+008, -9.99847094487E+000, +0.00000000000E+000
+1.82753750000E+008, -1.00033385511E+001, +0.00000000000E+000
+1.83690625000E+008, -1.00083823658E+001, +0.00000000000E+000
+1.84627500000E+008, -1.00134781925E+001, +0.00000000000E+000
+1.85564375000E+008, -1.00186275767E+001, +0.00000000000E+000
+1.86501250000E+008, -1.00238072596E+001, +0.00000000000E+000
+1.87438125000E+008, -1.00290561837E+001, +0.00000000000E+000
+1.88375000000E+008, -1.00342998115E+001, +0.00000000000E+000
+1.89311875000E+008, -1.00396606775E+001, +0.00000000000E+000
+1.90248750000E+008, -1.00450305743E+001, +0.00000000000E+000
+1.91185625000E+008, -1.00505506072E+001, +0.00000000000E+000
+1.92122500000E+008, -1.00561235458E+001, +0.00000000000E+000
+1.93059375000E+008, -1.00616989022E+001, +0.00000000000E+000
+1.93996250000E+008, -1.00673405438E+001, +0.00000000000E+000
+1.94933125000E+008, -1.00730487298E+001, +0.00000000000E+000
+1.95870000000E+008, -1.00787408423E+001, +0.00000000000E+000
+1.96806875000E+008, -1.00844434245E+001, +0.00000000000E+000
+1.97743750000E+008, -1.00902268733E+001, +0.00000000000E+000
+1.98680625000E+008, -1.00960102715E+001, +0.00000000000E+000
+1.99617500000E+008, -1.01018604005E+001, +0.00000000000E+000
+2.00554375000E+008, -1.01077463637E+001, +0.00000000000E+000
+2.01491250000E+008, -1.01136908561E+001, +0.00000000000E+000
+2.02428125000E+008, -1.01196164244E+001, +0.00000000000E+000
+2.03365000000E+008, -1.01255658838E+001, +0.00000000000E+000
+2.04301875000E+008, -1.01316461654E+001, +0.00000000000E+000
+2.05238750000E+008, -1.01377291126E+001, +0.00000000000E+000
+2.06175625000E+008, -1.01438859304E+001, +0.00000000000E+000
+2.07112500000E+008, -1.01499698354E+001, +0.00000000000E+000
+2.08049375000E+008, -1.01560660721E+001, +0.00000000000E+000
+2.08986250000E+008, -1.01622228010E+001, +0.00000000000E+000
+2.09923125000E+008, -1.01683799007E+001, +0.00000000000E+000
+2.10860000000E+008, -1.01745045499E+001, +0.00000000000E+000
+2.11796875000E+008, -1.01806966122E+001, +0.00000000000E+000
+2.12733750000E+008, -1.01867757625E+001, +0.00000000000E+000
+2.13670625000E+008, -1.01928573678E+001, +0.00000000000E+000
+2.14607500000E+008, -1.01988219910E+001, +0.00000000000E+000
+2.15544375000E+008, -1.02047538999E+001, +0.00000000000E+000
+2.16481250000E+008, -1.02106339159E+001, +0.00000000000E+000
+2.17418125000E+008, -1.02164152328E+001, +0.00000000000E+000
+2.18355000000E+008, -1.02220815667E+001, +0.00000000000E+000
+2.19291875000E+008, -1.02276559801E+001, +0.00000000000E+000
+2.20228750000E+008, -1.02331468962E+001, +0.00000000000E+000
+2.21165625000E+008, -1.02384456447E+001, +0.00000000000E+000
+2.22102500000E+008, -1.02436854437E+001, +0.00000000000E+000
+2.23039375000E+008, -1.02488881127E+001, +0.00000000000E+000
+2.23976250000E+008, -1.02539247063E+001, +0.00000000000E+000
+2.24913125000E+008, -1.02587965297E+001, +0.00000000000E+000
+2.25850000000E+008, -1.02636006864E+001, +0.00000000000E+000
+2.26786875000E+008, -1.02683262636E+001, +0.00000000000E+000
+2.27723750000E+008, -1.02728926647E+001, +0.00000000000E+000
+2.28660625000E+008, -1.02773658381E+001, +0.00000000000E+000
+2.29597500000E+008, -1.02817265121E+001, +0.00000000000E+000
+2.30534375000E+008, -1.02860371888E+001, +0.00000000000E+000
+2.31471250000E+008, -1.02902084603E+001, +0.00000000000E+000
+2.32408125000E+008, -1.02942363608E+001, +0.00000000000E+000
+2.33345000000E+008, -1.02982005196E+001, +0.00000000000E+000
+2.34281875000E+008, -1.03020996889E+001, +0.00000000000E+000
+2.35218750000E+008, -1.03058929080E+001, +0.00000000000E+000
+2.36155625000E+008, -1.03096268160E+001, +0.00000000000E+000
+2.37092500000E+008, -1.03133245715E+001, +0.00000000000E+000
+2.38029375000E+008, -1.03169229058E+001, +0.00000000000E+000
+2.38966250000E+008, -1.03204645179E+001, +0.00000000000E+000
